"neither","permhc","dist5","dist15","avail","somepriv","notpriv","device","voucher","cash","pricenone","pricevoucher","pricecash","neither_SOCIALBARS","permhc_SOCIALBARS","dist5_SOCIALBARS","dist15_SOCIALBARS","neither_FEARSURGERY","permhc_FEARSURGERY","dist5_FEARSURGERY","dist15_FEARSURGERY","neither_PRIVACY","permhc_PRIVACY","dist5_PRIVACY","dist15_PRIVACY","neither_TRAVELCOST","permhc_TRAVELCOST","dist5_TRAVELCOST","dist15_TRAVELCOST","neither_REASSURANCE","permhc_REASSURANCE","dist5_REASSURANCE","dist15_REASSURANCE","SOCIALBARS_lambda01","SOCIALBARS_lambda02","SOCIALBARS_lambda03","SOCIALBARS_lambda04","FEARSURGERY_lambda01","FEARSURGERY_lambda02","FEARSURGERY_lambda03","FEARSURGERY_lambda04","PRIVACY_lambda01","PRIVACY_lambda02","PRIVACY_lambda03","PRIVACY_lambda04","TRAVELCOST_lambda01","TRAVELCOST_lambda02","TRAVELCOST_lambda03","REASSURANCE_lambda01","REASSURANCE_lambda02","REASSURANCE_lambda03","REASSURANCE_lambda04","REASSURANCE_lambda05","SOCIALBARS_tau01_1","SOCIALBARS_tau01_2","SOCIALBARS_tau01_3","SOCIALBARS_tau01_4","SOCIALBARS_tau02_1","SOCIALBARS_tau02_2","SOCIALBARS_tau02_3","SOCIALBARS_tau02_4","SOCIALBARS_tau03_1","SOCIALBARS_tau03_2","SOCIALBARS_tau03_3","SOCIALBARS_tau03_4","SOCIALBARS_tau04_1","SOCIALBARS_tau04_2","SOCIALBARS_tau04_3","SOCIALBARS_tau04_4","FEARSURGERY_tau01_1","FEARSURGERY_tau01_2","FEARSURGERY_tau01_3","FEARSURGERY_tau01_4","FEARSURGERY_tau02_1","FEARSURGERY_tau02_2","FEARSURGERY_tau02_3","FEARSURGERY_tau02_4","FEARSURGERY_tau03_1","FEARSURGERY_tau03_2","FEARSURGERY_tau03_3","FEARSURGERY_tau03_4","FEARSURGERY_tau04_1","FEARSURGERY_tau04_2","FEARSURGERY_tau04_3","FEARSURGERY_tau04_4","PRIVACY_tau01_1","PRIVACY_tau01_2","PRIVACY_tau01_3","PRIVACY_tau01_4","PRIVACY_tau02_1","PRIVACY_tau02_2","PRIVACY_tau02_3","PRIVACY_tau02_4","PRIVACY_tau03_1","PRIVACY_tau03_2","PRIVACY_tau03_3","PRIVACY_tau03_4","PRIVACY_tau04_1","PRIVACY_tau04_2","PRIVACY_tau04_3","TRAVELCOST_tau01_1","TRAVELCOST_tau01_2","TRAVELCOST_tau01_3","TRAVELCOST_tau01_4","TRAVELCOST_tau02_1","TRAVELCOST_tau02_2","TRAVELCOST_tau02_3","TRAVELCOST_tau02_4","TRAVELCOST_tau03_1","TRAVELCOST_tau03_2","TRAVELCOST_tau03_3","TRAVELCOST_tau03_4","REASSURANCE_tau01_1","REASSURANCE_tau01_2","REASSURANCE_tau01_3","REASSURANCE_tau01_4","REASSURANCE_tau02_1","REASSURANCE_tau02_2","REASSURANCE_tau02_3","REASSURANCE_tau02_4","REASSURANCE_tau03_1","REASSURANCE_tau03_2","REASSURANCE_tau03_3","REASSURANCE_tau03_4","REASSURANCE_tau04_1","REASSURANCE_tau04_2","REASSURANCE_tau04_3","REASSURANCE_tau04_4","REASSURANCE_tau05_1","REASSURANCE_tau05_2","REASSURANCE_tau05_3","REASSURANCE_tau05_4","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-19351.5114968883
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-19351.5114968883
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-19351.5114968883
-0.0176383999641985,0.0169941333122552,0.0086784000042826,0.00877226665616036,0.057676799967885,0.00566613334231079,0.00458666663616896,-0.000204799976199865,0.00997973331250251,0.00946773327887059,-0.0139093332923949,-0.0917162666562945,-0.0886271999683231,-0.00874250950291753,0.00819392772391439,0.00426110462285578,0.00436621205881238,-0.00716800075024367,0.00725933075882495,0.00304102087393403,0.00412656264379621,-0.017225648323074,0.0163868021219969,0.00844226842746139,0.00853829700499774,-0.00557632828131318,0.00548198521137238,0.00318369530141354,0.00254357228986919,-0.0029702337924391,0.00358138303272426,0.00162811484187842,0.00189670738764107,1.00197251439095,1.00190502251498,1.00180461369455,1.00160889741965,1.00144733940251,1.00148782520555,1.00153286801651,1.00150288543664,1.00285661295056,1.00275345225818,1.00279736984521,1.00258260993287,1.00068917907774,1.0005758152809,1.00045593874529,1.00059423991479,1.00049125379883,1.00061297919601,1.00060771275312,1.00051648872904,-1.9997641208116,-0.999449788127095,0.999298994848505,1.99811806757934,-1.99995229174383,-0.999500024551526,0.999006341351196,1.998263528198,-1.99975024820305,-0.999405311653391,0.999305209843442,1.99824045253918,-1.99984100349247,-0.999708288256079,0.9990963709075,1.99827590952627,-1.99999004774727,-0.999370308453217,0.9989397296682,1.99854387063533,-1.99991540880874,-0.999340855050832,0.999078825535253,1.99858977939002,-1.99998204568401,-0.999230838334188,0.999181675957516,1.99858102197759,-1.99994905954227,-0.999325633980334,0.999113183794543,1.99846598752774,-1.99996363855898,-1.0000000173226,0.999817507946864,1.99670501807705,-1.99999230559915,-0.999893182329833,0.999799408437684,1.99673051312566,-2.00001204963773,-0.999955900851637,0.999762264080346,1.99683849299327,-1.99997414420359,0.999410967295989,1.99729822124355,-2.00015247329138,-0.9993650497403,0.998677054326981,1.99814382032491,-2.00027612703852,-0.998858921043575,0.998887411784381,1.99867380061187,-1.99984350604936,-0.998675843188539,0.999167277198285,1.99902303139679,-1.99962431928143,-0.999087817920372,0.999195325560868,1.99867616486736,-1.99947668267414,-0.998511854792014,0.999396583531052,1.99925604877062,-2.00005087270401,-0.998625099286437,0.9991602208931,1.99910051599145,-1.99976835520938,-0.999334763688967,0.999543249141425,1.99851609375328,-2.00029724761844,-0.998717946652323,0.999499667435884,1.99904972217046,-18215.2071363292
-0.0371949629599899,0.0425417207019593,0.0285021496264585,0.0107839966057706,0.113950956494858,0.0118009061740696,0.00927382395616095,-0.00498200775002085,0.0132627286450159,0.0112585250871636,0.0591828516222577,-0.076623131247121,-0.0784943866090823,-0.0181608161100476,0.0191960375182537,0.0138648327663759,0.00488842192091519,-0.0131267348465275,0.0179084885602832,0.00853062149099668,0.00609009192726025,-0.0358385608281284,0.0398423707576812,0.027628352668917,0.0100104505875266,-0.0105686432023278,0.0130385515351472,0.0114063300780032,0.000726731442254723,-0.00672648602025278,0.0116252634768928,0.00590121300151118,0.00414692719753668,1.01204307536545,1.01164743766852,1.01102194802223,1.00979662213346,1.00884746272364,1.00907412234732,1.0093267064434,1.00917767254749,1.01774611067198,1.01710170413812,1.01736501477129,1.01597480909618,1.00420233662703,1.00344977322984,1.00271727007224,1.00362601457427,1.00294633214586,1.00369965001606,1.00362562946281,1.00308402068112,-1.99853538568611,-0.996611458932647,0.9956909223462,1.98846246513465,-1.99969321678292,-0.996925466973745,0.993896894747643,1.98935759101134,-1.99845120911087,-0.996343131972266,0.995732408038932,1.98921401986256,-1.99900730629852,-0.998202102240548,0.994449617981785,1.98942831357029,-1.99992402547666,-0.996119649150101,0.993496486123393,1.99107375232801,-1.99946504391518,-0.995941544773548,0.994348982495737,1.9913540112262,-1.99987183967005,-0.995272486881654,0.994976377257103,1.99129681901872,-1.99967183922098,-0.995855476863766,0.994553355721293,1.99059385534319,-1.99977616480061,-0.999999480157503,0.998879205901469,1.97989917491878,-1.99995216823284,-0.999342203300327,0.998769793608868,1.98005333444894,-2.0000734471335,-0.99972727260404,0.99854319541672,1.98071752317941,-1.99983944835072,0.996401896612487,1.9835394765763,-2.00092798031824,-0.996091720051848,0.991874405630706,1.98861496807952,-2.00167833616784,-0.992990274647766,0.993173021950292,1.99186158995307,-1.99902119451757,-0.991864263073121,0.994889035941325,1.994001987023,-1.99768494790027,-0.994394431821994,0.995056680424336,1.99186623280718,-1.9967662965735,-0.990858482950791,0.996291086655318,1.99542002086121,-2.00029177594209,-0.991556197333131,0.994842521448447,1.99446550758158,-1.99856280775199,-0.995907205259995,0.997192811287511,1.99087818535122,-2.00180118284695,-0.992128284293578,0.996927994348489,1.99415286252196,-18091.6486868276
-0.0948555350797123,0.191275962870312,0.106955187042196,0.0249378699544175,0.0141203305521228,0.0304208706758881,0.0091822756567607,-0.109744307121087,0.0467494768586831,0.0153481100014503,0.0986593426430066,-0.107791755729979,-0.0267229136735237,-0.0424543023706935,0.0762557486334347,0.0488985136860407,0.00774709156402416,-0.0171385364785747,0.0736286159571909,0.0168429122009465,0.0199210234545782,-0.0869449200046468,0.173044565871172,0.101006038835095,0.0207311898063555,-0.0171869952074741,0.0528194010277383,0.0479829108670491,-0.0130117411029243,-0.0187543780762814,0.061078214757142,0.0252373505861449,0.0194558681905752,1.08693760159366,1.08412273942511,1.07966793207371,1.07059593900787,1.06389816536146,1.06546632389553,1.06719470830329,1.06626143657339,1.12933595043561,1.12462442994337,1.12649523425653,1.11615701286479,1.03014496329282,1.02451970366907,1.0192594482924,1.02621835928645,1.02097181309882,1.02658173616091,1.02578858597018,1.02199769150124,-1.98929053343406,-0.97531090449889,0.96855545138064,1.91638865732085,-1.99771857087628,-0.977632234882325,0.955520720990995,1.92289393590487,-1.98868186145817,-0.973388233823546,0.96888074390104,1.92183280780828,-1.99272115498111,-0.986901194821048,0.959543177381705,1.92335893679073,-1.99937661611335,-0.971742381564866,0.952667092915427,1.93528146384248,-1.99603834110542,-0.970456859467001,0.958866358907314,1.93731530502275,-1.99897443814878,-0.965638933193184,0.963405808414324,1.9368903428064,-1.99753941945778,-0.969868008204579,0.960309874985964,1.93180028820241,-1.99836754798717,-0.999993374915117,0.991783043312041,1.85494251095007,-1.99964854571804,-0.995201477513987,0.99100095990599,1.85603323141289,-2.00053182826852,-0.998005232847199,0.989348132751996,1.86088758755934,-1.99882305515564,0.973800663274905,1.88140145028593,-2.00669011791332,-0.971548641086254,0.940799759348984,1.91732784274709,-2.01202800521603,-0.949104825705374,0.950312646021268,1.94084860791786,-1.99269598155824,-0.940901734989533,0.962804073441361,1.95638014263518,-1.98307524084851,-0.959221064573529,0.963986086610105,1.9408699972088,-1.97626058801337,-0.933563252901518,0.972978981794958,1.9666410731813,-2.00187168553957,-0.938709605247235,0.962468623483965,1.95971918950986,-1.98943686302661,-0.970210393124435,0.979523636906847,1.93367363041913,-2.01280963401376,-0.942927355995419,0.977643805619317,1.95745318415818,-17762.5222769202
-0.225832210366221,0.530406045611645,0.287510805916558,0.0512608252801965,-0.200386428696096,0.0751963768509305,0.00625414730067085,-0.371132517993,0.101988292540336,0.0511094020559069,0.129404300651993,0.0351673331767944,-0.111786032349763,-0.0942365183827204,0.199127462908612,0.126517114203324,0.0098383636031011,-0.0193579642138835,0.194229275333608,0.030323427962251,0.0480645457288403,-0.200681942807665,0.4717315065931,0.267821447939292,0.038291714752584,-0.0282245316973828,0.139031913921828,0.131424657512851,-0.0493154790191859,-0.0439442606760576,0.174505933253988,0.0683661037703109,0.054974106156469,1.27098516959133,1.2622057692934,1.24852432172405,1.21998939405451,1.1991329302374,1.20402401427889,1.20935028203717,1.20652421647238,1.40366823434944,1.38893542471335,1.39474010356501,1.36237734148933,1.09362911355982,1.0760531270518,1.05967920647277,1.08178852551851,1.0651668884904,1.08288096733371,1.08004064918354,1.06842438500372,-1.9664712851211,-0.922742480343968,0.901438532584824,1.73904564108242,-1.99283233911111,-0.930047821957345,0.860678841672075,1.75936273942218,-1.96456931521365,-0.916761378362413,0.902489078417108,1.75602404392199,-1.97720163762837,-0.95901963600504,0.873272079099236,1.76074674463885,-1.99799088148573,-0.911619577102186,0.851821554718622,1.79790987252603,-1.98755444410505,-0.907608394375136,0.871221027998959,1.80427616633577,-1.99670400595986,-0.892600605972245,0.885394739026385,1.80295222622058,-1.99224275934098,-0.905801878736512,0.875685068411907,1.78705958991122,-1.99488762261196,-0.999977372604164,0.974138157851414,1.54796620488518,-1.99889577012515,-0.984971457984409,0.971709973345741,1.55132161059872,-2.00166181472472,-0.993748521226852,0.966519520950897,1.56655244961382,-1.99630968316814,0.91784265009158,1.6306923355471,-2.02084577628861,-0.9110033178403,0.814629526806276,1.74164299336173,-2.03734864694474,-0.841008765627549,0.844495205155887,1.8150578309975,-1.97686503314757,-0.815324522830073,0.883600246162267,1.86357390426095,-1.94693821416893,-0.872470000599013,0.887221894061023,1.81512756191909,-1.92542454711325,-0.792343265997733,0.915398994743815,1.89562468558632,-2.0054714868803,-0.808570074649988,0.882557784930756,1.87400502982084,-1.9668243179754,-0.906837638726561,0.935820396913775,1.79263127929103,-2.03961898343269,-0.821874265355919,0.930027474886077,1.86694133882608,-17586.8958967915
-0.347057696713284,0.796961363720801,0.441351477819631,0.0482858885439948,-0.00608923156908289,0.127247463268683,-0.0305207569120663,-0.807556974669253,0.174032829886024,0.0924174345086758,-0.188970394566717,0.1896800604601,0.0408789825345129,-0.107874044987281,0.22701253847417,0.166132697300872,-0.0199441943904778,0.0382849438988458,0.229945075963436,-0.00717683612638357,0.044232911304547,-0.282522383401177,0.663384661642272,0.390042724340448,0.0202545319504775,-0.00508602188693759,0.166880268578504,0.203839015375043,-0.121631740109138,-0.0457018099330411,0.271614649697609,0.100052968887687,0.0873080073634817,1.5332810628915,1.51595458602147,1.49078728095166,1.43358354580718,1.39197668145617,1.40205486761145,1.41236310648951,1.40691123414225,1.79181719445583,1.76278215114466,1.77403465685815,1.71095306966879,1.18027862033828,1.14746228005533,1.11616404594155,1.16192934069425,1.12823875465114,1.16433828829232,1.15518711651773,1.1345298246464,-1.93293992848377,-0.845432927621892,0.800535435993036,1.48461740357709,-1.98559832359104,-0.860347945410071,0.71924798582435,1.52472131194862,-1.92910847219771,-0.833667561208085,0.802923108637681,1.5179386145512,-1.95440525758057,-0.918127409220371,0.74446930160932,1.52696334645711,-1.99572053985275,-0.8237094689482,0.702071900321996,1.59960789309101,-1.97492353906576,-0.815714690929669,0.741005124103476,1.61245635667835,-1.99291488771013,-0.786186199717845,0.769103623999271,1.60996183770327,-1.98424264365587,-0.812310221845008,0.749509909319341,1.57846872841194,-1.98972207519395,-0.999948085972643,0.94571553572349,1.11165532998349,-1.99775548631616,-0.969794285359617,0.941027515977262,1.11781671568221,-2.00331626305174,-0.987422993247145,0.930241880878308,1.14884355450972,-1.992564415014,0.831970156147217,1.27675895580955,-2.04104966172513,-0.822272338910338,0.627023981330134,1.48581756957009,-2.07241232091156,-0.684438841173342,0.687934014209955,1.6310458781344,-1.9513549030899,-0.63289545515699,0.76659359344128,1.72739289534826,-1.89301603973104,-0.745683344354767,0.77302633579797,1.63147663184742,-1.84828606608903,-0.586721504828523,0.829975674331736,1.79123405335776,-2.00771932626468,-0.620393677821928,0.764617984621955,1.74830389092414,-1.93266624266696,-0.814241930543532,0.869902451092529,1.5867219804551,-2.07542325614956,-0.648121669974924,0.859411850661295,1.7344783447544,-16398.4378584327
-0.38387619496737,0.819242525738738,0.36492417419737,0.13170521685205,-0.00639255919443447,0.0817612383874545,-0.0351927268378046,-0.960993451886845,0.196893877948723,0.1158035850305,-0.0987719447517232,0.166866299370148,0.0135883173266407,-0.0708878995740664,0.141346246953968,0.0791359531673899,0.000661044039747486,0.109130531158778,0.15092218823359,-0.107661460477333,0.05478247506601,-0.264827657274979,0.620603712986686,0.279173681813291,0.0833990112894274,0.0484513092500361,0.112859335175857,0.165959662706704,-0.137626544552003,-0.0151615308668752,0.263065960327128,0.0699705418387479,0.107015193025896,1.66444718857363,1.64339420306553,1.61350475537659,1.54176671697381,1.4899027452215,1.50344308833104,1.51551754970451,1.50916492396159,1.97946168498821,1.94299330187982,1.95730977201453,1.8797155361161,1.2141545919468,1.17741814310868,1.14118965926396,1.20121427308321,1.15759383232859,1.20583510820649,1.18808887011744,1.16557785247156,-1.91388426265016,-0.801207268263279,0.73494089045875,1.35780176251996,-1.98148657974971,-0.820981091789694,0.632486795440515,1.40679701446433,-1.90862784247497,-0.786211813984209,0.739060703558811,1.39824079674037,-1.9416062825095,-0.894911981443669,0.66487624256521,1.4085497061679,-1.99417832049898,-0.774811349264807,0.612559888524837,1.49708706582278,-1.96756111483298,-0.764476268542382,0.662741617077546,1.51396615314203,-1.98992507137929,-0.727565803588036,0.698237757284996,1.51119694620238,-1.97949212866893,-0.760492851722464,0.672544412344324,1.47180010463845,-1.98664105581611,-0.999880576517064,0.899507904916967,0.922575393573042,-1.99700504669727,-0.960779343304407,0.895925810977346,0.927144043431703,-2.00425605041141,-0.983639429519942,0.882100168470542,0.967184571332821,-1.9903212364794,0.763652754072755,1.1206667731153,-2.05138835657003,-0.772350851913717,0.513554259939781,1.34686819921064,-2.08812768518403,-0.600054899435818,0.595788346789462,1.52836420183104,-1.93198136520489,-0.533651923104212,0.698014249748838,1.65015720181727,-1.85955150374863,-0.674587146052994,0.704144439518042,1.53077939680646,-1.79822521113996,-0.473061405658769,0.779659348048688,1.7320484122665,-2.00210293908553,-0.519408190399366,0.696850732448142,1.67786706166115,-1.9106240018861,-0.762451650131563,0.827251141493455,1.47508931452475,-2.08811404447435,-0.55779178283956,0.818435561525255,1.66122780542792,-15761.2599540428
-0.476014454892261,0.875543432249837,0.266854722416367,0.244644177404603,-0.00541139907552137,-0.00177806448422652,-0.0584025647962143,-1.2101129415018,0.24359176956793,0.170057136374147,0.035735593421166,0.129600855460021,-0.0276540856456056,-0.0276200205843728,-0.00610675372413494,-0.0398656104583444,0.0093447654412848,0.20280028429505,0.0391668619677716,-0.23733638161276,0.0469243414432468,-0.214364257611513,0.517924033371869,0.0985816198943364,0.139360517328856,0.135999885637878,0.0247754320227175,0.105938884463523,-0.167237313331467,0.0388565887710003,0.253359544118413,0.0339547674456882,0.131081037798947,1.93910224061177,1.91023907087239,1.86978147819441,1.76772484114649,1.69165849912945,1.71395703271396,1.73004299487148,1.72261664159475,2.36911418385284,2.31704494111543,2.33767811696764,2.2299058891986,1.28230136486201,1.23825657497264,1.19069574728075,1.28134871026153,1.21714726666446,1.29175640612685,1.25576922451302,1.22962531654873,-1.87391029468321,-0.705582968908401,0.585795947470634,1.09732761005291,-1.97379205989096,-0.736301211399598,0.440211648618743,1.16272101821431,-1.86517528672436,-0.683754704384585,0.594844859060316,1.15134676288481,-1.9152124181058,-0.845388707888809,0.488043997462042,1.16320148268848,-1.9909630823762,-0.670125659097075,0.416000968564092,1.28151184484895,-1.95199626881949,-0.654706260168789,0.490703968056679,1.30750467901866,-1.98345182560145,-0.602098195762746,0.541699892325301,1.3044874131552,-1.96967167362872,-0.649334381297091,0.50239567350907,1.2488877624458,-1.97993200099467,-0.999729520362161,0.422752593240238,0.905800758467798,-1.995353356634,-0.941024218033908,0.530186793540501,0.797861102024552,-2.00632892611077,-0.975347382930483,0.676142223578956,0.691002545396009,-1.98544798776593,0.59406966239261,0.818786311582362,-2.07314977810762,-0.664881295502301,0.263722079539731,1.05293500246877,-2.11973700633591,-0.419950439288241,0.394924305829545,1.30896366373658,-1.88677185531616,-0.32135001145308,0.548465994443846,1.48408931764632,-1.78541424768732,-0.521464309575129,0.552063668622241,1.31571232612797,-1.68657786075364,-0.229309154074478,0.669468746358699,1.60399600264525,-1.98641167517628,-0.304727595331941,0.550109354405719,1.52610711332533,-1.86172642864008,-0.651608710372919,0.730199485846333,1.23914630633608,-2.11185694805406,-0.368068143572906,0.729457635396389,1.50451018982013,-14905.1385739562
