"","neither_C1","permhc_C1","dist5_C1","dist15_C1","avail_C1","somepriv_C1","notpriv_C1","device_C1","voucher_C1","cash_C1","pricenone_C1","pricevoucher_C1","pricecash_C1","neither_C2","permhc_C2","dist5_C2","dist15_C2","avail_C2","somepriv_C2","notpriv_C2","device_C2","voucher_C2","cash_C2","pricenone_C2","pricevoucher_C2","pricecash_C2","neither_C3","permhc_C3","dist5_C3","dist15_C3","avail_C3","somepriv_C3","notpriv_C3","device_C3","voucher_C3","cash_C3","pricenone_C3","pricevoucher_C3","pricecash_C3","int_C2","int_C3","age_C2","age_C3","educ_C2","educ_C3","ispoor_C2","ispoor_C3","urban_C2","urban_C3"
"neither_C1",1,0.64251001293455,-0.245256316198032,-0.180169933691799,0.615130332963426,0.125836534949599,0.132248702749679,-0.539718534254011,0.206242810443991,0.273748381459193,0.348045752795478,0.0606456479177215,0.163920459087812,-0.00464842228976081,-0.00232981547683832,0.00674048483805881,0.00110702141266784,-0.00225210128242125,0.01158077477674,0.00798569285410662,-0.0142541641685095,-0.00486293742481761,0.00551885379774848,0.00188650914705006,-0.00842594108065293,0.00597484126342682,0.0277599221102964,-0.0479526159481534,-0.0083339984496616,0.0159094349872654,-0.0654229450458314,0.00460801069156114,-0.0178824351072777,-0.189292568489165,-0.00280480956043404,-0.0393448702851136,-0.0299372772305979,0.0208022270024988,-0.0170109611931457,0.0850944981318457,0.177769661476882,-0.0397274485824286,-0.0715867632768735,-0.0480038092958588,-0.0850384738189202,-0.0755052035199965,-0.129011971252293,0.0762219044741964,0.0539393912345606
"permhc_C1",0.642510012934553,1,-0.370510898659849,-0.399200024483998,0.594113447861044,-0.14582263702888,-0.194809832989829,-0.809461642818638,0.29976566406689,0.409823941395659,0.0407760242094662,0.418887503825661,0.441818228284593,-0.00465941225666743,-0.00137031463036928,0.00866788277199378,0.00111752506796237,-0.00310589757585025,0.0156630171202415,0.0111682512159684,-0.0170774020071625,-0.00645224792937899,0.00858382653288471,0.00329438582466547,-0.0116429370766126,0.00861962855495087,0.0754791701594011,-0.113659706193155,-0.0074539597424308,0.0427865968394616,-0.054880148590274,0.0362974976562709,-0.0475853526633343,-0.217771580432181,-0.00800064769183657,-0.0583542542786938,-0.0119179058457493,0.0224209782026071,-0.0202402410506058,0.0961253515372642,0.213677939099454,-0.0494869404162923,-0.091583045173327,-0.0932741997174524,-0.162406500069253,-0.0639194676739194,-0.121822858108284,0.0666347281466361,0.0382600232531125
"dist5_C1",-0.245256316198031,-0.370510898659849,1,0.795098967964041,-0.128958936166594,-0.134044063278518,0.0875513297534902,0.170272636905229,-0.517741903702733,-0.751291428532678,-0.575580841446656,-0.00998574556954696,-0.367576966869879,-0.0022983344953094,0.000918777461299715,0.00296525017494751,0.00195539493033718,-0.00291300340470774,0.00318138325512425,0.00554345748307103,-0.00759198507975777,-0.00488168781582175,0.00357917012947946,0.00148904389758492,-0.00360856636792005,0.0043425834960513,-0.0458909659431526,0.019897006281611,-0.0748406458831416,-0.0948634323441066,0.021181528934804,0.0404027162976071,0.0208837120934681,0.036677270935675,0.028545772735262,0.0827660546087167,0.0864421866222014,-0.0636875020021877,0.00573553365863053,-0.0385697915508143,-0.0231629538108093,-0.0359514339125307,-0.0718320341503637,-0.0811418591878364,-0.126513157900132,0.0830474088360033,0.114846729643744,-0.0276476306943394,-0.0637390978047038
"dist15_C1",-0.180169933691798,-0.399200024483999,0.795098967964043,1,-0.281594148949917,0.0715577646809244,0.356284324388342,0.0276688810232231,-0.539565406836701,-0.674745624561121,-0.326472217470249,-0.168007196175003,-0.423420561849951,-0.00459979865001532,0.000761839950239208,0.00600864728824333,0.0023584278159678,-0.00386928460857871,0.00734111641455951,0.0091852942080589,-0.0152912336916365,-0.00790685513144605,0.00645573145525048,0.00237632205965762,-0.00764410816465437,0.00750202490203373,-0.0471929487459897,0.0300286616842673,-0.0982482910656682,-0.119421533868914,0.0156731253122229,0.00997146175465253,-0.00430126860831926,-0.0446398890213204,0.0363171331024326,0.0647421093330231,0.0617666046186984,-0.0447181319317243,-0.0121434825318239,-0.027683140609529,0.0184558854633513,-0.0394841933787807,-0.117816311764118,-0.0741642225537297,-0.126017124235696,0.0760897232303139,0.10676901803861,-0.00835208318740038,-0.0603854266879417
"avail_C1",0.615130332963429,0.594113447861042,-0.128958936166593,-0.281594148949916,1,-0.583454125929382,-0.507803053279225,-0.358423695489886,0.218450727260145,0.205438093283793,0.00362299237213326,0.378803604576117,0.300874207444261,-0.000873043850536368,-0.0016213541586043,0.000672064423106766,-0.000109896587498587,-0.000353096515704348,0.00166671969764136,-0.000198659208467304,-0.000793541297551498,0.000793395719575014,-0.000184890096870588,-6.01848141104827e-05,7.95783261918311e-05,-0.000135815695808169,0.0609570759620031,-0.025613923787874,0.0225951719932191,0.0365152130398816,-0.0554465294345429,0.0515058155562264,0.0373625402132134,-0.031344238136532,-0.00523729686689931,0.00735872618226684,-0.00701826967961167,-0.00490295493996328,0.0178017889503038,0.0422024727424885,0.070271680896207,0.0143450012237112,0.0559455183297069,-0.0595917906572691,-0.109706248719605,-0.0638234114332782,-0.117557330862568,0.0846837463804013,0.127764558226417
"somepriv_C1",0.1258365349496,-0.145822637028879,-0.13404406327852,0.0715577646809231,-0.58345412592938,1,0.748341705504736,0.0141525091603942,-0.158366370517715,-0.0886477294054322,0.354044101532083,-0.457725395245605,-0.336806849368719,-0.00311988588177536,-0.000528982869866866,0.00333590063808983,0.000703264312615908,-0.00168578999125878,0.00529170982625449,0.00486336885889873,-0.00939136053227015,-0.00352401137176303,0.00271961927244882,0.00111801236712137,-0.00419101152045363,0.00337829656994436,-0.0157668490410099,0.0111776369880808,-0.0199303784639107,-0.0207883323820962,0.00739011426988981,-0.0873751004677689,-0.051649377715006,-0.0784604479624915,0.0194722778008872,-0.0248771438639189,-0.0323376380438164,0.0275222614068691,-0.0299163237670684,0.0288959739218865,0.0543852331388567,-0.0360542992773302,-0.0827948290488072,0.0698529290524485,0.114184264241802,-0.0133021450220001,-0.00293829031435346,-0.0453272460349523,-0.0970682889257245
"notpriv_C1",0.132248702749682,-0.194809832989829,0.0875513297534892,0.356284324388341,-0.507803053279224,0.748341705504739,1,-0.0713238073191519,-0.278914530019755,-0.137726631277997,0.142100603571491,-0.504291928654301,-0.270672430301516,-0.00310665729008076,-0.000143130715681548,0.00617773305337314,0.00196858048775563,-0.00241792729439482,0.00962864842976345,0.00872304750412921,-0.0118206273650494,-0.00592993324018301,0.00535546982443201,0.00168642432426664,-0.00816147237477039,0.00597130123435836,-0.0227752438875223,-0.0250494119372763,-0.0424527785019897,-0.0329193157289563,0.0067811460759363,-0.0520331908310935,-0.0862716389535667,-0.118303516493194,-0.00177943339367924,-0.025706022338086,0.00204754150136541,0.0135891747638998,-0.0240162601960257,0.0457596410139923,0.11838092884441,-0.0546672036460963,-0.125691050524187,0.0112597940451424,0.0146077346104014,-0.0231534098456402,-0.0454796379886703,-0.00444045923697586,-0.0612398964406107
"device_C1",-0.539718534254014,-0.809461642818638,0.170272636905229,0.0276688810232228,-0.358423695489888,0.0141525091603956,-0.0713238073191519,1,-0.176605883050328,-0.318544185218615,-0.0408004277992843,-0.272168613174865,-0.390834072850171,0.0115936988202081,0.00449674692652422,-0.0153835962914232,-0.00254210594006504,0.00761455651695504,-0.0278091982016443,-0.0201454509944173,0.0350948991182304,0.0138929873850739,-0.0150855191244301,-0.00601425255031852,0.0213503243520151,-0.0160338320434097,-0.0846549287530548,0.0890337971295901,0.0490521405298437,0.00125817669413969,0.0596741417430381,-0.0258258337434842,0.0516640454900682,0.361381459313997,-0.0177889356902993,0.0602880682788181,0.0198185430974192,-0.0379149197462591,0.0412226092475893,-0.104922615354623,-0.264116162904612,0.0857803394420584,0.18185335928098,0.15988942838787,0.275249010044294,0.0404884795261047,0.0769703141173479,-0.112068792579382,-0.0643769474960064
"voucher_C1",0.206242810443985,0.299765664066888,-0.517741903702732,-0.539565406836698,0.218450727260142,-0.158366370517714,-0.278914530019752,-0.176605883050327,1,0.61642128456724,0.45338224132298,0.678473333785229,0.326391907389119,0.00375175508794232,-0.000299681005820687,-0.00273281386257167,-0.00152402428729239,0.00293790424747756,-0.00309454925598384,-0.00518643747702801,0.0100751308415333,0.00463333767483055,-0.00254596947601314,-0.000737414422006401,0.00267276279831928,-0.00404989044618664,0.0542869734504971,-0.018900843484679,0.04869963710674,0.0629607313887164,-0.00619592727256258,0.016231483285593,-0.00969685866770514,-0.00192329182516513,-0.0657038455597237,-0.0728389775767507,-0.071519700026411,0.0351750673790777,0.0189083036385243,0.0480851827613777,0.0562953594175013,-0.0253004906806421,-0.0343043286132078,0.00469190739024634,0.0280295924358232,-0.0639636165795898,-0.112840042505037,0.0187344986650358,0.0480654496127677
"cash_C1",0.273748381459197,0.40982394139566,-0.75129142853268,-0.67474562456112,0.205438093283795,-0.0886477294054337,-0.137726631277996,-0.318544185218616,0.616421284567241,1,0.456648993334005,0.141987712784822,0.804313868235954,0.00176560468213276,-0.000632949122764781,-0.000541277588913791,-0.00146102239323109,0.0024833714047812,0.000149295760767778,-0.00239037099115266,0.00347271561041946,0.00271964472701705,-0.000213136399621571,-0.000253600363326158,0.000168451428993399,-0.00140161092881092,0.0519409944809343,-0.0336461124039806,0.0593634438680646,0.0829396681768026,-0.0335589662145753,-0.00877761086642563,-0.0209091334857913,-0.0803014623126474,-0.0413978963685565,-0.0903452544192366,-0.073931828443718,0.051423755507693,-0.0124804399425267,0.0639844517584986,0.0878236151293875,-0.0319567115349569,-0.0605787578327275,0.041840413014093,0.0559952882207964,-0.0795555117310242,-0.119033847676166,0.0282657685172715,0.0565615930437951
