"","neither_mu","permhc_mu","dist5_mu","dist15_mu","avail_mu","somepriv_mu","notpriv_mu","device_mu","voucher_mu","cash_mu","pricenone_mu","pricevoucher_mu","pricecash_mu","s0101","s0201","s0202","s0301","s0302","s0303","s0401","s0402","s0403","s0404","s0501","s0502","s0503","s0504","s0505","s0601","s0602","s0603","s0604","s0605","s0606","s0701","s0702","s0703","s0704","s0705","s0706","s0707","s0801","s0802","s0803","s0804","s0805","s0806","s0807","s0808","s0901","s0902","s0903","s0904","s0905","s0906","s0907","s0908","s0909","s1001","s1002","s1003","s1004","s1005","s1006","s1007","s1008","s1009","s1010","s1101","s1102","s1103","s1104","s1105","s1106","s1107","s1108","s1109","s1110","s1111","s1201","s1202","s1203","s1204","s1205","s1206","s1207","s1208","s1209","s1210","s1211","s1212","s1301","s1302","s1303","s1304","s1305","s1306","s1307","s1308","s1309","s1310","s1311","s1312","s1313"
"neither_mu",1,0.161331211441202,0.134515586082273,0.071714334272779,0.396337486723348,0.150437867731693,0.182261789780813,0.00417431693530951,0.110404353101879,0.0447309055586837,0.269035855138997,-0.110292467729781,-0.122862238301261,0.102033834074609,0.0444382016977175,-0.0198983280324185,-0.0844931686984138,-0.00122221032644677,-0.0324002738977508,-0.0860081833394181,0.0545350760200779,-0.136966198454221,-0.00163125093227305,-0.0573418639152066,0.140870856118193,-0.183508226181343,-0.012719223459466,-0.086886263921517,0.0270964723459739,-0.0431792318649808,0.041472866788644,-0.0740782320395089,-0.110880949133628,0.156387259107494,-0.117254261472969,-0.0346652573223827,0.0415975434901033,-0.0121565055506437,-0.0494329173785312,0.214468150289742,-0.0235033662937252,0.0564524881020922,-0.107408473778425,0.0340502103717471,0.00223427657510877,0.11365186071338,0.0337952570546577,-0.00150874002294603,0.00294012022474028,-0.105530922805852,0.100597277016973,-0.107318937304488,0.137075480189963,-0.0394911019473339,0.0109552517265511,-0.0759912918961527,0.0351687406020974,-0.0941832481933762,-0.127930799899823,-0.0370215614245362,0.00361150018481818,0.135614037819811,-0.0394198469802766,0.0265798729960921,0.0827439322941726,0.0150329432012112,0.0474687396735627,0.114357571080543,0.00338440362685665,0.010290410112216,-0.0304458973487283,0.0647549267199625,-0.0420979717653378,-0.0615172506718378,0.149064733000303,-0.0328205255761629,-0.125223882392069,0.097209686812752,0.0240681170131901,-0.112823088222923,0.133050682319592,-0.117576633633654,0.0494080341474755,-0.0100103016915391,0.0305205517929511,-0.163364270364657,0.0340384146732532,-0.0614874108214049,-0.124847915626638,-0.0123532582989082,-0.0691531428716932,-0.109280307456568,-0.0187776545609157,-0.0282698876223522,0.0444182558367333,-0.0391333448701751,0.0555335913514937,0.0273494589446283,0.00747427372501268,0.112917526676965,0.117083124391316,-0.00725261144017893,0.0408195135164715,-0.0679118165906246
"permhc_mu",0.161331211441202,1,-0.578204986578407,-0.611188861255551,0.48534623135944,-0.0935368533684655,-0.0862601953676389,-0.610509524987329,0.146097177980201,0.453246226574137,0.00922240316171218,-0.140341530654174,0.0102503819361253,-0.424506923836575,-0.559665961947882,-0.404736083499362,0.340750392332253,0.0150745619139599,0.100870534086572,0.348029635600911,0.024584929007547,0.0475843254453617,-0.110760439884971,-0.286368269000315,0.102756562320731,0.383886669602382,-0.226011905612567,-0.299374132557384,0.045039537506863,0.0360744829595989,0.0283050701790552,0.120172174822587,0.349272834194074,0.385861409588921,-0.0215779539199484,0.0406461333655758,0.103739850874378,-0.0613238883929002,0.430771442390156,0.0227332239475162,0.130499065953092,0.524341489067212,0.160819790912766,0.314264961714913,0.633262600456266,-0.203105791350823,-0.387694769130813,-0.356283375279183,-0.515809233457851,-0.189090798460926,0.159066627853129,0.0313752917428255,-0.302819489872197,0.113252528938756,-0.241143042480476,0.389491270483472,-0.00664601235070342,0.285161536985793,-0.225771812974774,0.097305996495051,-0.118426272526773,-0.311948505243002,0.162027739804555,-0.107094405234338,-0.118375925123076,0.233416925749922,0.0454956005437902,-0.31233919247098,0.00471876816796979,0.107791298129318,-0.173097617715163,-0.434523250136104,0.22533501484027,0.0719812485969943,-0.393389216789077,0.31342425326888,0.31834866915032,-0.146140243972257,-0.293131478765576,-0.0758639944767459,-0.0932383102052893,0.184856657356611,-0.0805815383270182,0.021724633222799,-0.219730837150595,0.420582028142338,-0.0663341558078671,0.185230760063696,0.333447069923308,0.0835391305979164,-0.327652574693031,-0.0495897527854148,-0.109270331260603,0.0531171073883027,0.0611137098838822,0.0844850054508103,-0.00938219739381968,0.000894607983414025,0.130388827304023,-0.0920740586715128,-0.211155756120539,-0.284846398469781,-0.2596955332811,0.136935312905568
"dist5_mu",0.134515586082273,-0.578204986578407,1,0.842225927770972,-0.0856218725804475,-0.0187586504376307,0.0334861138598521,0.251065782748893,-0.121014565630919,-0.425471368404983,-0.240144885224267,0.142121364229102,-0.129662849432317,0.141479479626563,0.267184068652135,0.109028845475493,-0.16864187358034,-0.0228454234619837,-0.125633945621141,-0.204864662934002,-0.0406378615720725,-0.170401797728639,0.0680501848177734,0.124710952987471,-0.0411638701114328,-0.20050826970788,0.0057968899238864,0.0665496999235949,-0.0742971750706902,-0.021660484838489,0.00295691198365857,-0.071612360481641,-0.146386416146045,-0.085036331595446,-0.0682300333990843,-0.0393592674915059,0.0290405883688168,0.0657001958297006,-0.167739605304802,0.0912184182645696,-0.0368365215758263,-0.189652627219303,-0.0788434613414458,-0.0498985218276279,-0.240774736647931,0.182931397648653,0.0952799718107071,0.128945132785947,0.140803031018386,0.0754984523019066,0.0193777809578241,0.0644783150095314,0.176160426465465,-0.0996333232036336,0.0793697884221421,-0.209572540184129,0.0013018278807717,-0.0609618064695007,0.0546109505276951,-0.0566902629089785,0.123909518186183,0.273762510362795,-0.108900278319196,0.0588835156371053,0.0634130739399793,-0.111518517028919,0.00146706871996747,0.152167578798569,-0.0448425088191517,-0.0223428542898367,0.133574476088707,0.197639955337245,-0.101327956801258,-0.0289957452103988,0.143568441135593,-0.0895079614950875,-0.116132611802792,0.108302937185919,0.105474181893105,0.0723550272911255,0.0936298622696883,-0.0707191821977027,0.0897012286104102,-0.0620836851452668,0.0654691887823766,-0.22088382238698,0.00938018403931892,-0.039090388327446,-0.231998640341546,-0.0591680720577403,0.047023214264904,-0.0169333510334454,-0.0126215025066895,-0.0317655742904939,0.101219259330653,-0.0842038170571568,0.0469541718844474,0.0353540204692266,-0.0688687977606798,0.0515806198415685,0.106307590020806,0.0901260561074736,0.054346791777953,-0.101491526866171
"dist15_mu",0.071714334272779,-0.611188861255551,0.842225927770972,1,-0.105724802691058,-0.0464765295606874,0.00136421020302023,0.228196140487845,-0.209575692024342,-0.443507111967208,-0.206231575955761,0.166521464781924,-0.0574394059228178,0.154710995016994,0.357677832497353,0.178068565941243,-0.287093335963075,-0.0701305984336013,-0.153251068472942,-0.34216244521769,-0.0993049780937523,-0.248214112429671,-0.200651074412555,0.140844602083582,-0.071518570929407,-0.243853195274836,-0.0432703284677741,0.0772749603630657,-0.0581853367909673,-0.0549026588754559,0.0401430380735825,-0.057437751020386,-0.118912178360146,-0.127839278925375,-0.0504297072613658,-0.0839656908689329,0.0430883387115639,0.050189141438,-0.148003937624259,0.0461459806063841,-0.0156498986321862,-0.228792397632478,-0.0668232123951246,-0.0516325480262077,-0.26754494709137,0.122085780068809,0.105897010381144,0.166342117030841,0.143675194739359,0.103170757633251,-0.0416890116561226,0.0507283804385874,0.290283834627277,-0.125978603133073,0.125330176869855,-0.287505068043355,-0.0139531325104655,-0.103701167981933,0.143827511507841,-0.0435175654758567,0.15497069159075,0.303250697464689,-0.0746858560922823,0.0426697206073045,0.0775082058089761,-0.118782589319513,0.00670817682973949,0.171478166810818,-0.012432212754585,-0.038486491409834,0.118219046993058,0.266600999042053,-0.141975027243245,0.0309611557769098,0.170505273651793,-0.124338323942671,-0.158735826070168,0.107216941604417,0.0918311228879388,0.080288168711151,0.0533997059046446,-0.104673956503285,0.0939398520406503,-0.0501202226540148,0.0771707905797503,-0.287482511076437,0.00155665278613735,-0.0834221617261322,-0.266314456293735,-0.0724891587423177,0.049065883300757,0.0648762380200134,0.0142211695497086,-0.0203414527538171,0.0357489611242511,-0.00667738741003203,0.00993196980201943,0.0354152149123935,-0.0552164217215816,0.060965887800488,0.100723235876195,0.112919382310536,0.0976180857250235,-0.0623222174485127
"avail_mu",0.396337486723348,0.48534623135944,-0.0856218725804475,-0.105724802691058,1,-0.378666159284877,-0.266491997124615,-0.465289542170687,0.231458435947869,0.0748180363299676,-0.0408400135904202,-0.0105005079403876,-0.286017770168375,-0.350194815465547,-0.363000069073067,-0.321879806660902,0.209989883079206,0.00454770276630779,0.0158134993106667,0.170982222458886,0.0757019625949386,-0.1417742576162,-0.127698128781221,-0.347402384910195,0.141522943339088,0.0707510086550712,-0.461838716980874,-0.0835078036100242,0.144180949430596,0.0846409440739062,0.11775339243621,0.26709655619533,0.132466107973725,0.231354308266159,-0.0715351627717957,0.00954399769849773,0.210734943395653,0.113387588390993,0.291823912012343,0.1130477394644,0.0457377478290096,0.381676024534132,0.040096408635374,0.326939909831034,0.473022621144889,-0.148113538111495,-0.259577920049298,-0.226490161196418,-0.372890999265728,-0.16827449689574,0.136581111406365,0.0773777059197083,-0.103878629271649,0.0671187856710433,-0.126104390247665,0.146593810432644,0.0127538407880007,0.19968449880401,-0.291313280603434,0.0136427960966787,-0.0424130372581825,-0.0719612111685653,0.0302338140472022,-0.113519528438284,0.0122259653785794,0.152806049312178,0.040982104971481,-0.202107651337978,-0.0720237289277169,0.0427212962550726,-0.0743665726069473,-0.24709765116344,0.0644106214807873,0.1016750293264,-0.306777048704389,0.241231501048198,0.230355684402417,-0.0984432280536969,-0.249122995592381,-0.0806149269404252,-0.00361763613042517,0.0768536183104424,0.0179213320492744,0.017047287993459,-0.103037505555462,0.168888448833292,-0.0240752759284547,0.115230581137659,0.154017494820346,0.0832828937816581,-0.321633318492121,-0.164032584704088,-0.117374340035821,-0.0116465879952004,0.148126945960696,-0.040542069562033,-0.0555394566542946,0.123147472990468,0.0399037043848561,-0.0769028054341501,-0.125412709619669,-0.261026620471154,-0.248745388702327,0.00459747646157728
"somepriv_mu",0.150437867731693,-0.0935368533684655,-0.0187586504376307,-0.0464765295606874,-0.378666159284877,1,0.64925964780877,0.186776052405087,-0.184497556349131,-0.0525399946075098,0.192160209995464,-0.167994835005552,-0.0120956517095856,0.131508376624803,0.180593537535021,0.102460512130515,-0.129521216941263,0.0406828887716413,-0.034843690549703,-0.114940897764769,-0.00715617842958326,0.0453367601471547,0.0602872323547826,0.207511118643902,0.00367687754050173,0.0100277870842562,0.24744104954826,-0.0316574063124809,-0.222756110935837,-0.156600749321134,-0.167005146892167,-0.402428804242852,0.0681040149508776,0.0217525181722237,-0.0902601564502522,-0.0566071959761177,-0.15474372914791,-0.303568663289523,-0.0464423757645059,-0.0282809265398961,0.0696598988901156,-0.0975281379072125,-0.0354480572292169,-0.150222902969589,-0.159395331351133,0.0453151184304768,0.0870119383925251,0.0518257340864414,0.130775346320342,0.0740062657260338,0.000998034926049045,0.00495157713889751,0.130162610339069,-0.0106713733245198,0.0406253194495027,-0.0683759241094693,-0.00195854717952874,-0.0742148306223374,0.203604238590597,-0.0399203623417309,0.0268094519431772,0.0685464083957286,-0.0037384232583305,0.0272450035001632,-0.027846866951339,-0.0372365303294551,-0.00657153248110247,0.0574328309539983,0.0625809874244214,-0.0287723426105971,0.0360466361555474,0.0720460463366047,0.0640302926850066,-0.0909352849897043,0.10349755688997,-0.100578579121718,-0.126920146487203,-0.000648670171475532,0.0978996143503939,0.0317250404993139,0.0421801189272361,-0.00249138380323091,0.043159677988175,0.0077298599049052,0.062710770648883,-0.0743583579184443,0.0225827246049368,-0.0375908117092375,-0.0392047551995301,-0.0895908974125332,0.137347374699517,0.184256959872375,0.00352381234991314,0.00811101514790864,-0.0203271929768122,0.0166162979433447,0.0551392178299297,-0.071842300415007,0.0155033439152896,0.039353659368072,0.0433033119716939,0.0183311730590238,0.0965101372970803,-0.0248632594705101
"notpriv_mu",0.182261789780813,-0.0862601953676389,0.0334861138598521,0.00136421020302023,-0.266491997124615,0.64925964780877,1,0.162000375341016,-0.166277350372711,0.0446153792369561,0.185241558280566,-0.163700384561823,0.0478694925440989,0.0546104589608166,0.137745839347433,0.180460713722849,-0.112193851388949,-0.0494944178248553,-0.00281317183593736,-0.12486756547736,-0.109360840110565,0.0901231028656689,-0.0451779565564593,0.0297914798681485,-0.0323270287793664,0.0937493834942241,0.127186398303125,0.0174179325183069,-0.118738258153806,-0.0689880448295404,-0.188103675738701,-0.255570320229086,0.0494862333402413,-0.0589974643597538,-0.0637058285829978,-0.0268378940777442,-0.295338562606599,-0.463470250695576,0.0631592401717015,-0.163905424411268,0.175423947968792,-0.0535454876521194,-0.0147961177574416,-0.221297569896127,-0.102526796790777,-0.00550353999708864,0.0520931451800789,0.082738184727949,0.0910146788557457,0.109180713837772,-0.0903497067409429,0.0288035596101723,0.208235506018053,-0.0643208457687266,0.0382252831145928,-0.0770513072968232,-0.116878415641554,-0.0782813554817305,0.285635986110746,0.0384777672053751,0.00535592914481776,-0.00753820049903564,0.0773417721890925,-0.0145272780013406,0.0104276725328513,-0.0458578878033914,-0.0320176108856307,0.0213539416213505,0.0816813367697957,-0.0347598152566347,0.0614567038115944,0.0809907992162909,0.0195272267449493,-0.0178999422692173,0.0614216783469201,-0.118275064934242,-0.124503477567888,-0.0403437830035455,0.0922627193176927,0.04672783322985,-0.0457697825187084,0.0563595083486301,0.103354348993364,-0.0346850010073339,0.0258587206981987,-0.0587674205745635,-0.0806539135463642,-0.0465121517853587,-0.00411749992781098,-0.0632660794847592,0.180060569085819,0.246265348111794,0.0866716031638269,0.00780118470641122,-0.0860150592459485,0.110279893899543,-0.00955167801324834,-0.0291704462430183,0.0184670727032461,0.000595419436848817,-0.00115153392894232,-0.00975139240816012,0.107628207489986,0.00538686969715961
"device_mu",0.00417431693530951,-0.610509524987329,0.251065782748893,0.228196140487845,-0.465289542170687,0.186776052405087,0.162000375341016,1,-0.251690092307456,-0.328193543452346,-0.0178832791899985,0.0625922230723061,0.194869041825385,0.428406516296749,0.516980871205317,0.475551827909406,-0.318317472735505,-0.0458921691895088,0.00794842525801179,-0.310346567564633,-0.0586093636579464,0.151031828181798,0.140925541739043,0.268253384570864,-0.17441279505056,-0.305503248318811,0.289903595353877,0.264432949937588,0.0510625343540964,-0.0331277473819076,-0.160463374787921,-0.179897510753845,-0.315946409941622,-0.412457213151433,0.169381222601706,0.0366561313942457,-0.227434331318832,-0.00903043326045468,-0.450927334967478,-0.0858875839019467,-0.0937000906548882,-0.611805008989811,-0.19824458034908,-0.523316608531417,-0.768018457710409,0.249998586661989,0.471341322490725,0.376363538683256,0.556941330168071,0.253537456179531,-0.200735195026946,-0.0533372371066413,0.30701595451977,-0.0750726976689136,0.198897596715011,-0.359129990856216,0.00257020658184149,-0.326378999958806,0.349684172987698,-0.0543615071718893,-0.0163521978071574,0.234887081572873,-0.0657754984317468,0.0833451956333101,0.0812696118267842,-0.214973328594819,-0.109857348014867,0.24474123477436,0.0667008446957481,-0.0458447561973081,0.114833320968251,0.496860729634762,-0.149400539484957,-0.17165571187097,0.409866850776618,-0.342717002246518,-0.438191245624385,0.161641078457957,0.338231122289275,0.0861105241598607,0.0344367358420154,-0.0958982596701505,0.043989350219334,0.00532262256646342,0.186675588075597,-0.361226647572479,0.0550132472891797,-0.175952735788762,-0.249611826801229,-0.0507319409209206,0.494181087550801,0.142798327418013,0.14325285075559,-0.130597379953161,-0.189360550230983,0.0315743612528406,-0.01054587571597,-0.0455292289325963,-0.105205613811663,0.073875937281447,0.143892350153638,0.390424418099693,0.375865191907104,-0.109000752723293
"voucher_mu",0.110404353101879,0.146097177980201,-0.121014565630919,-0.209575692024342,0.231458435947869,-0.184497556349131,-0.166277350372711,-0.251690092307456,1,0.00794165261116651,0.113607526822746,0.660412022736771,-0.399202594216692,-0.119895547038158,-0.236136538544714,-0.145931008401501,0.233771987429053,-0.0133958668830665,0.0316081130725341,0.229928454386115,0.0115648672208765,0.00986606894271445,0.133950782444027,-0.0863421363085441,0.0636491828287478,0.106805216153289,-0.0567957996088944,-0.0293026584629445,0.0362975397582148,0.0609596157858057,0.0879602816345434,0.113685160578058,0.0415032398126697,0.100148338288494,-0.012879658187235,-0.00795956399571746,0.11998021764428,0.0622855070728959,0.0955860762270168,0.00963743920714253,-0.00682445352338939,0.205116617926107,0.0657240326288304,0.192001039109358,0.263694308434967,-0.0945119948326132,-0.125260965213088,-0.16082452087507,-0.16394562425969,-0.0919839499223354,-0.0745764473481338,-0.150325948036333,-0.449798354596367,0.240634320254788,0.0109556174025399,0.194188195053395,0.00121759359349965,0.101374094237576,-0.247121823629621,0.000332481327504747,-0.0200607950751125,-0.110396431025998,-0.0359271752181214,-0.0714615187067814,0.0847167202270158,0.0472783234136778,-0.00779896152391794,-0.0287390170035575,-0.0898809686758999,0.0159768489726635,-0.0617019138232129,-0.221522921079557,0.0662277232094939,0.0396271424407693,-0.0486198031060542,0.0891787180273182,0.16699720212171,-0.0515467467044557,-0.101873001591083,0.00362558446556211,-0.16537949481086,-0.0917817895360698,-0.354094985295667,0.225100150594682,0.0391221977865193,0.140444977630358,0.00811169083628085,0.0440865169451546,0.116997372168673,-0.0636964802651364,-0.0646521970327522,-0.177487227351942,-0.0612977798362098,0.0559785666641232,0.102125506600941,-0.0953407296807099,-0.0520137526596943,0.110798562905615,0.0156019502530576,-0.077789025918697,0.0125896891074537,-0.180313088232331,-0.146028179788406,0.0186272524176231
"cash_mu",0.0447309055586837,0.453246226574137,-0.425471368404983,-0.443507111967208,0.0748180363299676,-0.0525399946075098,0.0446153792369561,-0.328193543452346,0.00794165261116651,1,0.300937945894878,-0.394332596488019,0.59279721227709,-0.264250290842244,-0.358514468689303,-0.171276636587715,0.252126978792421,-0.0110975924970696,0.144396005469819,0.247068129864633,0.00240294535359391,0.178501729266157,-0.0304108308021249,-0.26420734370202,0.0541098498383075,0.280300815047643,-0.0462860104815083,-0.186164737611302,0.104858099556982,0.043842808385308,-0.0151202799301309,0.105867470784842,0.177279177289771,0.156238797068042,0.142001212996933,0.0348214203176714,-0.0264131822457617,-0.0833645557416948,0.244797927566735,-0.0547591087041072,0.0987039646182632,0.274870579596707,0.109529406591093,0.101528259183243,0.375642075011562,-0.182621629247667,-0.204858729883041,-0.214470484736936,-0.254361204846362,-0.146749119683285,0.0504512840225301,-0.0503890572230562,-0.187234595220619,0.0598015384073064,-0.130840930319073,0.299601030496817,-0.0563348373039843,0.0539165697738584,-0.101695111677262,0.1168420799696,-0.137865293056453,-0.515024415304374,0.256715806061265,-0.0259185053040294,-0.14943390819074,0.157178589762887,0.0420777352653103,-0.247555116870165,-0.0294955371402282,0.0574959613855016,-0.114054739772733,-0.334753701609344,0.207213699263242,0.0365370999010983,-0.24526302967596,0.176069350617378,0.190673566557862,-0.159113512140343,-0.121441686353235,-0.0934395918965113,-0.0754791002146735,0.110073382668218,0.0111878904365904,-0.0807846972999926,-0.132516481357524,0.330255182030919,-0.0804337013221878,0.0139582997892584,0.289302063060771,0.0554860427906186,-0.0682432187276281,-0.00538231865165616,0.023813957305472,0.0170559569220925,-0.279762785190991,0.184001606835644,-0.00868546599472205,-0.0698580551187872,0.128484897732433,-0.0429441222813271,-0.200412558039243,-0.140230732791081,-0.101554889330933,0.122682216374476
