"neither_mu","permhc_mu","dist5_mu","dist15_mu","avail_mu","somepriv_mu","notpriv_mu","device_mu","voucher_mu","cash_mu","pricenone_mu","pricevoucher_mu","pricecash_mu","s0101","s0201","s0202","s0301","s0302","s0303","s0401","s0402","s0403","s0404","s0501","s0502","s0503","s0504","s0505","s0601","s0602","s0603","s0604","s0605","s0606","s0701","s0702","s0703","s0704","s0705","s0706","s0707","s0801","s0802","s0803","s0804","s0805","s0806","s0807","s0808","s0901","s0902","s0903","s0904","s0905","s0906","s0907","s0908","s0909","s1001","s1002","s1003","s1004","s1005","s1006","s1007","s1008","s1009","s1010","s1101","s1102","s1103","s1104","s1105","s1106","s1107","s1108","s1109","s1110","s1111","s1201","s1202","s1203","s1204","s1205","s1206","s1207","s1208","s1209","s1210","s1211","s1212","s1301","s1302","s1303","s1304","s1305","s1306","s1307","s1308","s1309","s1310","s1311","s1312","s1313","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5352.43907039103
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5352.43907039103
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5352.43907039103
-0.0176383999641985,0.0169941333238967,0.0086784000042826,0.00877226666780189,0.0576768000028096,0.00566613334231079,0.00458666667109356,-0.000204799987841398,0.00997973333578557,0.00946773333707825,-0.013909333338961,-0.0917162666562945,-0.0886271999916062,-6.18153717368841e-07,1.01080280728638e-05,8.88647045940161e-06,-8.87899659574032e-08,8.16673273220659e-06,7.36527144908905e-06,5.29253156855703e-06,4.78804577142e-07,5.22640766575933e-06,-1.79890776053071e-06,-2.53636855632067e-05,3.92642919905484e-05,3.66141786798835e-05,-1.84863340109587e-05,1.94788095541298e-05,-1.64665980264545e-06,3.8079684600234e-06,2.85573769360781e-06,-8.61838925629855e-06,6.69871224090457e-06,-2.77974177151919e-06,-3.59839759767056e-08,1.77710317075253e-06,6.75104092806578e-06,-1.51221174746752e-06,2.95066274702549e-06,-6.63567334413529e-08,7.90944322943688e-06,5.48693351447583e-06,8.79983417689801e-06,8.18102853372693e-06,9.19282902032137e-06,1.35494628921151e-05,-1.79940368980169e-05,7.39237293601036e-09,1.22669152915478e-06,5.60091575607658e-06,1.0206364095211e-06,7.81613634899259e-06,-1.15309725515544e-05,7.22298864275217e-07,6.43334351480007e-07,1.80350267328322e-05,-1.55346933752298e-06,3.23550775647164e-06,8.6217187345028e-08,1.01757934316993e-05,4.49123326689005e-06,-5.98259503021837e-06,6.46318076178432e-06,8.22421861812473e-06,9.29568195715547e-06,2.21511581912637e-06,3.01928957924247e-06,3.59292607754469e-06,-3.82964964956045e-05,-1.14202266559005e-06,-1.0450673289597e-05,5.12633938342333e-05,8.50529177114368e-06,-5.5247510317713e-05,-1.38227711431682e-05,1.09930871985853e-05,-9.43045597523451e-07,1.35041074827313e-05,4.27874037995935e-06,-6.17156154476106e-05,-2.67111463472247e-06,-7.72129744291306e-05,9.50693967752159e-05,-3.19697428494692e-06,-2.01279297471047e-05,-0.000154681748244911,1.98741792701185e-05,-3.54561605490744e-05,-3.48201603628695e-05,1.49056082591415e-05,2.74284044280648e-05,-1.92196690477431e-05,-7.05935177393258e-05,-4.9298768863082e-05,5.84954977966845e-05,-4.38041985034943e-05,-9.57255018875003e-05,-8.58814688399434e-05,-1.39296869747341e-05,-2.80507490970194e-05,-2.57310457527638e-05,-6.97123818099499e-05,5.92311494983733e-05,8.19442793726921e-06,-4271.76251535698
-0.039562885449677,0.0457318512980585,0.0297619619680662,0.0125187989219241,0.118746113028056,0.012539932361467,0.0100833047247392,-0.00318918430124862,0.0141875520284011,0.0116890653454292,0.0635056362781867,-0.0830547085065278,-0.0821268505579976,-8.11526863192833e-06,6.80335651001902e-05,7.3086679546386e-05,-1.13139353900496e-05,5.26065498287547e-05,5.35918391343599e-05,4.79069762943518e-05,1.04587293275061e-05,3.99402195331193e-05,-2.04891858220009e-05,-0.000162486692253912,0.000191553483373885,0.000204984822873427,-6.59970417071615e-05,0.000126474294539027,-2.38695051485903e-05,9.34200068964644e-06,5.08994859089862e-06,-2.05643023536207e-05,3.8389956654566e-05,-2.7272681382729e-05,9.21083704709146e-06,1.12714140812982e-05,4.9094588071664e-05,-2.79423618175553e-05,1.89138411183878e-05,6.11633528034073e-06,5.74587205299431e-05,-7.09490049669695e-05,1.71731402313867e-05,-7.00843245041308e-05,0.000248896901501681,7.67164560084446e-05,-0.000189597273233385,-0.000224980878279644,2.82089959186364e-05,5.25758975335115e-05,1.85571154225904e-05,7.39248020191843e-05,-0.000105773165973893,2.06849396010008e-05,7.24981164367155e-05,0.000142560663667387,-2.17557041955963e-05,2.82155774067188e-05,3.33789780186144e-05,6.89049529831851e-05,4.79085360705752e-05,-7.65172997145725e-05,4.90699645943809e-05,0.000100952036302416,8.27951241514382e-05,-1.91237309979952e-06,2.42743311970599e-05,3.0573124517475e-05,-0.000409952586676858,-7.00398464737035e-05,-0.000180327571621018,0.000605150726504112,-6.43105622386349e-06,-0.000693031958255028,-0.000323243009657598,9.7686389494703e-05,-9.31495146467107e-05,2.33921263696987e-06,-3.3027239690051e-05,-0.000586446942503681,-0.000110341935299409,-0.000714136077761556,0.000928509155765184,-0.000172417289013858,-0.000840524492851986,-0.00125888344712522,0.000248961236675802,-0.000292108907564334,-0.000337762332089492,-0.000123153989796799,0.000504788555508302,-0.000475814938572766,-0.000535569662885413,-0.000534116864064821,0.000877218100953136,-0.000380569971549469,-0.00115491162203865,-0.000862771451471694,5.04415699259925e-05,-0.000279019543774006,-0.000286802229227662,-0.000502444339927016,0.000595101077259565,9.63092372819432e-05,-4212.07397999108
-0.0980206172962658,0.182555852645774,0.101003917300146,0.0319147556255726,0.0621197151392022,0.0318336020886919,0.0148279801497649,-0.0685364137938926,0.0419257303662289,0.0183044141665474,0.130910508442697,-0.109418316777254,-0.0700563070306678,-0.00102112148298083,0.00192023615443771,0.0013073681727851,0.000103209613481626,0.000316127809612046,0.000612214651972605,0.0013582090572544,0.000757975614662397,0.00125308672151541,-0.00186993506543577,-0.00123364208737607,0.000363934931112106,0.000883634430794601,0.000297786858871568,0.000649079759948962,-0.000375743689012085,-4.18622779050975e-05,-0.000121048382338461,0.00027675516624552,0.000167726632281066,-0.000566356590083988,0.00042108980052899,0.00016085864732353,0.000675828269438533,-0.000775718996308967,0.000207105452900313,0.000664786907555061,0.00101289778347508,-0.00351019259565736,-0.00102288337161402,-0.00369984976087384,0.00646886941908554,-0.000402578718450446,-0.00620595378328812,-0.00696202473140324,0.00110024333445708,0.00185431758916362,0.000984301404033418,0.00207512071933194,-0.00322534779569053,0.000764061248411118,0.00336124994836909,0.00354343101326092,-0.000520592487655862,0.000855854872953769,0.00154840522734713,0.00100536231084737,0.00161859496459161,-0.00253620956957773,0.000812751277055487,0.00296868990424197,0.00269643152370978,-0.00036427349882828,0.000689646806186355,0.000765509200180223,-0.0124385358713529,-0.00537415150737484,-0.010924604412091,0.0194702882876772,-0.00375691581519513,-0.021816305592489,-0.018794857433821,0.00286254519234036,-0.00475153722929057,-0.00422470772355598,-0.00482783528994919,-0.0191563780447221,-0.00926105528923526,-0.0205461533626988,0.0315092178823417,-0.00744140372604574,-0.0344503604715883,-0.0344222543915798,0.0053648101574214,-0.00849748204617171,-0.00913139831131669,-0.00867473812770578,0.016266996813517,-0.0187065633429378,-0.0101727606340287,-0.0188139938745946,0.0298793827808223,-0.00825490914608345,-0.0346166662534541,-0.0311906072611501,0.00435321424682583,-0.00808523690387407,-0.00850949275338734,-0.00989710471062395,0.0155796895510938,0.00173837306466668,-3937.34181849876
-0.108702015312263,0.207531550197835,0.11401688116943,0.035444102930216,0.0519013029573143,0.03537438983928,0.0156835058503743,-0.0804696289455076,0.0469489118432963,0.0195623000005871,0.14312149014342,-0.113827269904542,-0.0681810339576695,-0.00121211092855293,0.00226458602636847,0.00153702099299343,0.000129201542775001,0.000367232768487044,0.000720142556439118,0.00159893813215316,0.00089633868552755,0.00147678641197055,-0.00221019648661651,-0.00142167712116937,0.000402857530053545,0.00102141824824141,0.000351569105953995,0.000754897563180585,-0.000442070095186032,-5.0649626649212e-05,-0.000146108580379426,0.000335190878528775,0.000191602830295555,-0.000668606958073041,0.000496709221746935,0.000188507770193585,0.000792290531790786,-0.00091457070111807,0.000241685144181557,0.000786736726839383,0.00118949201756183,-0.00417534472053283,-0.00122893617048333,-0.00439965158170379,0.00766458792839758,-0.000500866844390046,-0.00736943222268248,-0.00825707058807514,0.00130596308364508,0.00218705719343273,0.00116220651231826,0.00244494124493111,-0.00380161257367136,0.000901370122701402,0.00396891140381539,0.00417096011066743,-0.000612524576603749,0.00100858603396513,0.00183718395873089,0.00118440945963825,0.00191868481791938,-0.00300460242952716,0.000958363346986735,0.00351466131781296,0.00319262295398114,-0.000432610587697262,0.000815769965025705,0.000905608584170763,-0.0146748845179308,-0.00636072856918768,-0.0129210230818899,0.0229749541557539,-0.00445523875745804,-0.0257410711813809,-0.0222244955749981,0.00337566659615584,-0.00561316727523876,-0.00500888183517566,-0.00572039085941943,-0.022589495103126,-0.0109480492823384,-0.0242145982212322,0.0371640754384418,-0.00878477841306923,-0.0406637133905068,-0.0405489309480643,0.00630804101538781,-0.0100104192772945,-0.0107447478124057,-0.0102482166435207,0.0191743958338996,-0.0221565736623375,-0.0120052721636836,-0.0222815175655095,0.0353644537683623,-0.00974883246959158,-0.040943125713464,-0.0369168087627306,0.00516066346933789,-0.00955438569950389,-0.0100647548908254,-0.0116772611915928,0.0183931635539954,0.00205120037127474,-3918.30114614671
-0.136353858946927,0.273483973065637,0.148249212795675,0.0438708313931205,0.0248002846913217,0.0455800153434557,0.0165283045992679,-0.11396888705031,0.0577836433056941,0.0258571099288273,0.160236924915764,-0.102152671166001,-0.0825929212065346,-0.00103386313011236,0.00199191821774116,0.00164235206346496,0.000280265109523066,0.000631605496886343,0.00120094678958296,0.00118407483199289,0.000730426690303682,0.000921408965612649,-0.00134995358227446,-0.00132920403287636,0.00152384385626705,0.00261508269054273,-0.000657683869763259,0.0018076213204984,-0.00051960353090526,5.0641872523022e-05,-0.000135906242625605,0.000355637011678438,0.000342340714414969,-0.00077274140545539,0.000265953826116286,7.30039745377457e-05,0.000824446481699661,-0.000686928393230416,0.000215438931922045,0.000448380292079907,0.00111553704692689,-0.00499735489770219,-0.00110147309553487,-0.00560472627685762,0.00983385124280025,-0.000290856864667982,-0.00896513626266618,-0.0106554588233997,0.00183957826361373,0.00170272317274862,0.000918353699046662,0.00213812957157973,-0.00330964476681069,0.000751845567585497,0.00316956629778642,0.00368542778846898,-0.000580353476559311,0.00092120847939584,0.00204276755408754,0.0015316217168454,0.00209333009335225,-0.00330442519255668,0.00128247382025433,0.00411237359553188,0.00343397091146765,-0.000378609113789469,0.00092255560720525,0.00107330723570607,-0.0146201572350381,-0.00610618781039705,-0.0117644959656166,0.0232452149055382,-0.00425258645083441,-0.0258711226901773,-0.0210466272315566,0.00338092457683969,-0.0056397174959497,-0.00463584102375638,-0.0053707140416725,-0.0190388005667641,-0.008713576646879,-0.0220000973526451,0.0334274357789885,-0.00737461949694032,-0.034613089408714,-0.0370417483511402,0.00633179550781015,-0.00943658297399495,-0.00962580401685099,-0.00733209744728948,0.0185054205544161,-0.0235481112075327,-0.0141287325448778,-0.0233224222808827,0.0372534929449921,-0.0117081397484681,-0.0449554339816636,-0.038414484834713,0.00469421703941534,-0.0104833859660971,-0.0111730303892897,-0.0138221315413461,0.0210611716803399,0.00355652591554798,-3891.79593808531
-0.290695262112251,0.622790171804111,0.335356867212532,0.0789610754937422,0.00933224710985412,0.11637690608038,0.00888420553441014,-0.322694446874328,0.121420871048584,0.0642573829330434,0.105381367100044,-0.0123375208002667,-0.0739154036278609,-0.000744479909414748,-0.00128918833922491,0.00298238072970967,0.00152270707771186,0.00316464362939877,0.00759822179078245,-0.00216029555770204,0.000408629057988042,-0.00494582523548313,0.00686124024393737,0.0116746344476662,0.0241561585304661,0.0406593197063325,-0.032773717854565,0.0240651068495716,-0.00229339098256902,0.00155745947708117,-0.000427738574573486,0.00303017270057803,0.00200921695939695,-0.0038136402756809,-0.00340568421215381,-0.00170604690422312,0.0011700688796603,0.00213490688838292,-0.000628811605360061,-0.00464653527027914,-0.000479640652637104,-0.0217730182909583,-0.00045802058627127,-0.0316018277709103,0.0521682325194228,0.000783408710950808,-0.0385229600404265,-0.0576651439420658,0.0140335585696928,0.0022524650061019,0.00116428501804237,0.00580254848235394,-0.00791490672122777,0.00160220465137776,0.00523271515119416,0.00814105424903936,-0.00181515983807406,0.00200067118921884,0.000596935098100723,0.00434978011057225,0.000835195348567861,-0.000607210154141434,0.00376440132462419,0.00424451105260184,-0.000673384256710544,0.00160257692406675,0.000792998423758506,0.00214575921524749,-0.0130316958430876,-0.00221712275242644,3.32314888145616e-05,0.0254676960272191,-0.00183139729842032,-0.0245000557173665,-0.00832468102077251,0.00380097058804896,-0.00326028183936447,-0.000151768676032159,-0.000912719492005545,-0.0249428090602458,-0.0050600740649521,-0.05261750547997,0.071299248922826,-0.0103621821752159,-0.0499874167921268,-0.0769888374867333,0.019117180305644,-0.0167284994128006,-0.00763605629323138,0.00882765528548552,0.0349118194061474,-0.000293307879821136,-0.0220217078084404,-0.00067680219790197,-0.00319827093655692,-0.0192363104813014,-0.019077283361744,0.0107768109347066,-0.0125318664652796,-0.00533483138529182,-0.0117783199862139,-0.0180281205276439,0.0225449659487944,0.018443154821707,-3810.70159140168
-0.748978692049038,1.64082401632213,0.875156016030485,0.183167799682435,0.0486209399591966,0.320168902440366,-0.0192410299959262,-0.963031162023981,0.321709657246038,0.168534610604755,-0.135428996261406,0.169429637927859,0.104816136615149,0.0048832630379362,-0.0236157467952906,0.00411468721878399,0.00509751090147753,0.0118074189985773,0.0366829879017418,-0.0213586287343911,-1.65759600023567e-05,-0.0383217036455063,0.0504355322670953,0.0674581651198915,0.132545370215804,0.241451615732456,-0.18477309210255,0.125817155843021,-0.00785901614807813,0.00827136567389263,0.00168369751911098,0.0117678803726481,0.00866670461510773,-0.0165797328938999,-0.014965166875633,-0.00758441796643595,0.00879335945395228,0.00780183489348435,-0.00382018123649224,-0.0240753619409427,-0.00285712332835602,-0.0794428167085749,0.00419988792688596,-0.131036003843153,0.219067529936325,0.00328296114137268,-0.143754918652164,-0.226030181885001,0.0596108872138208,-0.00563778707965784,0.00669818758218342,0.00672688358638215,-0.00387255555522457,0.00771466790972119,-0.00102247590648807,-0.00335495929882126,0.00306977476644252,0.00199963992936672,-0.0017558670518172,0.0173368251887699,0.00602013981993127,-0.00518239177297202,0.0187922472123513,0.0156451345596583,-0.00471279855121815,0.00628735535622937,0.00448330504725217,0.00755660139412445,-0.00590012831194415,-0.00748763053517706,0.0517769008429447,0.0473680962282947,-0.0188517191584051,-0.0630259366148076,0.039934474252272,-0.00967414564786293,-0.00978207469147635,0.00163274559111771,-0.00174042596691735,0.0307487694156241,-0.044848979905081,-0.0631652815879418,0.0548768938868305,-0.0597225845683764,-0.0298282540653657,-0.00721237841570055,-0.0129720608356026,-0.0186242059803822,-0.0093115668365276,0.0243255793895785,0.0802929565730384,0.0579955976656533,-0.0807627349707356,0.00167228610395464,-0.0160637658509636,-0.102686573769482,-0.0473382227260795,0.082666845446785,-0.0521992127895448,-0.0256678846288336,-0.0350886372427934,-0.0149043186786921,0.154311155203381,0.121990287638197,-3751.67304771873
