"","neither_mu","permhc_mu","dist5_mu","dist15_mu","avail_mu","somepriv_mu","notpriv_mu","device_mu","voucher_mu","cash_mu","pricenone_mu","pricevoucher_mu","pricecash_mu","s0101","s0201","s0202","s0301","s0302","s0303","s0401","s0402","s0403","s0404","s0501","s0502","s0503","s0504","s0505","s0601","s0602","s0603","s0604","s0605","s0606","s0701","s0702","s0703","s0704","s0705","s0706","s0707","s0801","s0802","s0803","s0804","s0805","s0806","s0807","s0808","s0901","s0902","s0903","s0904","s0905","s0906","s0907","s0908","s0909","s1001","s1002","s1003","s1004","s1005","s1006","s1007","s1008","s1009","s1010","s1101","s1102","s1103","s1104","s1105","s1106","s1107","s1108","s1109","s1110","s1111","s1201","s1202","s1203","s1204","s1205","s1206","s1207","s1208","s1209","s1210","s1211","s1212","s1301","s1302","s1303","s1304","s1305","s1306","s1307","s1308","s1309","s1310","s1311","s1312","s1313"
"neither_mu",1,-0.154220715154648,0.389922269192562,0.290856951950245,0.314939459687054,0.00730236018339667,-0.0852144133335646,0.116870491186062,0.0874381876532757,-0.27496972242726,0.308824624267247,-0.00734378369552642,-0.164865312392121,0.174801562193716,0.260387017724443,-0.0416623058896649,-0.283204430712629,0.208655358188338,-0.0876571840020635,-0.296034547714201,0.378338359751197,-0.291497086739687,0.222805680029428,0.0774871046969226,0.312133978500096,-0.482890274137597,0.138477002336318,0.111022860901692,-0.00264302887222278,-0.230569876538015,0.218720275662392,-0.250898780080569,-0.473781167540904,0.0932215743832103,-0.235316417708789,-0.186810336977253,0.184958414948924,0.311920568715257,-0.366960611745181,0.507894194934015,-0.311648200796757,-0.211509982701548,-0.487284712163215,0.0347229426719257,-0.278791016648626,0.460358134270417,0.248548848705672,0.277453376840422,0.228565145887625,-0.263933548277869,0.202887277477252,-0.268342569835462,0.273469690851156,-0.258420156825934,0.0919442687258578,-0.369904389701628,0.211968909359307,-0.262025812271552,-0.311072747440567,-0.216792034491667,-0.0148729642883072,0.332083796773812,-0.443683538619608,0.286184166468742,0.206152044192079,0.0140396298520525,0.430716333598205,0.317471018740395,-0.233751914126469,-0.0271231626063551,0.0956042933611502,0.301469695124716,-0.30251717195484,-0.348088488389422,0.330540774128186,-0.227610239239873,-0.265936586667464,0.41220705769278,0.156102315364772,-0.283524766142956,0.418639184321625,-0.449284815922715,0.182711173167615,-0.214143861086726,0.239358648723862,-0.455184162012429,0.173330162087878,-0.276151427560412,-0.407158022679244,0.0898412078612021,-0.231067908920435,-0.363434594132441,-0.00360578723671224,-0.277877362611395,0.0966911379379469,-0.454776376448986,0.326226069814256,0.0791554836864665,-0.0495867524645051,0.544784497187309,0.372820985505924,0.244065985213814,0.00872601495408959,-0.430087956102034
"permhc_mu",-0.154220715154648,1,-0.630638180166598,-0.589540936852325,0.52692001587075,-0.265986091008901,-0.0991967070918894,-0.744256800101315,0.286800753255891,0.600714503519273,-0.25373072362642,-0.149546984943085,-0.163225591261455,-0.656819804279842,-0.768788089451713,-0.532453491029746,0.625076884822543,-0.159165050017793,0.120650235493729,0.615990963883484,-0.148768554069574,0.0710785583318693,-0.352631127262793,-0.436421794618028,0.0663051733141169,0.616238526711175,-0.477364490990231,-0.520011220613748,0.042715302464622,0.0854940943356533,0.0413168819832654,0.294516225422559,0.636597964893834,0.4570091738501,0.0333809673664731,0.00525161722865235,0.213714874412615,-0.298618141963831,0.703299524782044,-0.252593557777002,0.320210229826897,0.797284033186044,0.455582639484705,0.526562685637421,0.819618369094496,-0.59896129224484,-0.650933491353512,-0.675653717553492,-0.773477010688186,-0.126139140331757,0.0994999361865768,0.105058916839267,-0.436346389489536,0.38745322792303,-0.52917327670004,0.683731158832015,-0.274191912296721,0.468063154091152,-0.17391670377178,0.26134835244638,-0.0491385896115144,-0.576919898194765,0.475028625037854,-0.419267003589288,-0.205132813080645,0.328760700734029,-0.0881120659374823,-0.528694313980666,0.0260328808873349,0.215408428870178,-0.296520221831804,-0.672858498444522,0.463376719257736,0.375562255284621,-0.66141243013746,0.611453967374943,0.54853139107778,-0.428231053002386,-0.593087944431783,-0.00927012385475221,-0.394255831707146,0.385870551200209,-0.186285686992471,0.249987157615051,-0.568602910447026,0.708357151462156,-0.347392297580623,0.312265663182896,0.578804607892398,-0.000491171040655915,-0.267964977503271,0.0117953037293098,-0.223782869381123,0.333128685465829,-0.0274804096530976,0.383619031131658,-0.299672710436577,0.0742105819807496,0.213977817558179,-0.404916776417769,-0.45081500077864,-0.649065096811982,-0.494531656444334,0.475786806117943
"dist5_mu",0.389922269192562,-0.630638180166597,1,0.829074742023842,-0.0575915327845683,0.0523924171879333,-0.0353688078208124,0.319889483173196,-0.121964377166447,-0.617688702153411,-0.0586057891470149,0.166775984793597,-0.15954574428014,0.342602286901933,0.482532004853674,0.101027066614142,-0.40271796593623,0.238375961657384,-0.240428694661049,-0.414386734361527,0.240306554574924,-0.276078422289574,0.258240309244887,0.313163225621888,0.0894740349476775,-0.46841592080712,0.157095352662013,0.218683154913198,-0.0921978045064379,-0.144841557462706,0.0718531753385911,-0.184416625490588,-0.452417020212738,-0.0749896408524588,-0.198306416624665,-0.159621772569201,0.0528877888438071,0.331366140327162,-0.439090657396384,0.398937833441881,-0.190776955420653,-0.367459755157452,-0.354700919940657,-0.141983315701934,-0.431411535601307,0.509960072781471,0.302676293395542,0.339541529315142,0.323906709344849,-0.0775253727623984,0.10128311408053,-0.0205871616220595,0.272462444932452,-0.240880001554877,0.249516060912028,-0.486173427508745,0.229670417996708,-0.148319401694852,-0.100583212033928,-0.296777665895227,0.130555415999398,0.500477695487366,-0.443046018788034,0.319693599649045,0.250114806254015,-0.143565567814156,0.18654206784128,0.358505818647494,-0.110103204286561,-0.235473590768029,0.327909179533032,0.350243804895509,-0.321704592424493,-0.305068379180759,0.40303347664679,-0.297138229564963,-0.228370595071099,0.398413648497641,0.258477537178304,-0.0614595291523976,0.381309155462775,-0.312395002183531,0.192410146801275,-0.173005998087345,0.315698700874286,-0.507782213442288,0.229391241322325,-0.107918844693917,-0.469184342337418,-0.00519920680305895,-0.0692602077259289,-0.186638214325039,-0.0416568645937894,-0.248184262949982,0.220076995172063,-0.431647479249374,0.32571876546538,0.121599273539362,-0.122045720916494,0.367682758217893,0.353435505429509,0.348929553276632,0.152027074384135,-0.409211999211023
"dist15_mu",0.290856951950245,-0.589540936852325,0.829074742023842,1,-0.10058036791762,0.026329926089539,-0.0191614847527346,0.270028049666038,-0.229216318940565,-0.593409035568725,-0.00941047918652723,0.2140151230131,-0.0594406159177765,0.302457439893566,0.522648535220469,0.179038726892424,-0.490036303085483,0.11335892684637,-0.20797762596136,-0.464343336987242,0.0715976794904814,-0.321350584901555,-0.127058338271749,0.299076354800074,-0.00759387905227342,-0.368043744827804,0.0761756352726183,0.184346700983332,-0.158280629833995,-0.193132100492079,0.144835149088094,-0.198086355737332,-0.355237822384079,-0.0316255571590516,-0.215439844106493,-0.264476987879718,0.118043984792017,0.221629236423477,-0.322431116498128,0.247198602378488,-0.0915655019974528,-0.348132693947151,-0.32027763483183,-0.137763716013826,-0.386224782220812,0.412294155525684,0.19161930424467,0.295221557812595,0.233319602574702,-0.0624535178175729,0.0770176360576508,-0.0981305488364375,0.420751935000756,-0.281937737836256,0.274087192281463,-0.486661693480315,0.171343523683506,-0.124699120064237,3.07479398930975e-05,-0.235256778278003,0.211407658206138,0.471249431694811,-0.35699394599188,0.199709922217727,0.319275057263495,-0.179274240495754,0.147895298182795,0.363427248832259,0.0135230506292722,-0.15766990043531,0.207167899754666,0.349091500336981,-0.359607351240826,-0.0957703969873497,0.374758100770683,-0.274410215689711,-0.227260641539398,0.280154394977775,0.23181013638046,0.0239691365554961,0.304307635815869,-0.332896940059507,0.205212817653331,-0.119758911201163,0.255095039338996,-0.4953060025645,0.157476527606254,-0.148906431945076,-0.455740626119817,-0.135677986452645,-0.0811427497847118,-0.0496317375030175,-0.0410662192892011,-0.0989993554958823,0.0783477837241202,-0.265964822660112,0.205657419397799,0.17290272744822,-0.12118441618296,0.293134291654574,0.322381978567673,0.313630213615597,0.214487411842325,-0.330999412613891
"avail_mu",0.314939459687054,0.526920015870751,-0.0575915327845688,-0.10058036791762,1,-0.558473352279395,-0.381579189768709,-0.641227117609538,0.297741998498092,0.0611905208881167,-0.210039784680193,-0.0898934172844849,-0.500199748538832,-0.475535481897319,-0.418829215756228,-0.570224960043112,0.360976465305016,0.0997479416445408,-0.0733605594527784,0.338243769426749,0.249760961332329,-0.277352049382997,-0.16467929036104,-0.311705399425882,0.361675166552579,0.11654494163186,-0.538829722182845,-0.127294987167115,0.0134238039715834,0.012863203888478,0.220952890129069,0.301536471200466,0.123835445341134,0.413517838760098,-0.258445757170755,-0.164187473337172,0.390345093458832,0.151796109667351,0.400978789668464,0.209953574313414,-0.0249789069505633,0.48601160837802,-0.0133215683190151,0.566160385892387,0.546826295607467,-0.213869472551835,-0.383969458203917,-0.382803458682124,-0.536595614398936,-0.341922328352092,0.255145374516144,0.0958974603413822,-0.100151815691365,0.115202810260096,-0.360145745801384,0.251166367530718,-0.0271692676406977,0.313194924691577,-0.528483929028692,-0.0508766618852358,0.025051144690825,-0.113183989966338,-0.024117912147182,-0.194205117350346,0.0961595380750957,0.24531213343777,0.194570585790315,-0.216948103391388,-0.276492392231285,0.0190213134914467,-0.0931434180820148,-0.423315457918104,0.0028535961993604,0.135768406684285,-0.427099744158411,0.439035823297499,0.39644145063259,-0.103452554441466,-0.503317366822053,-0.169657712048079,0.0400443850069777,0.0528778898054161,0.144169372021837,0.0275285783769064,-0.283999430344253,0.239354153832325,-0.116361164879266,0.155490627557151,0.156212910882694,0.131866305850711,-0.505898724909023,-0.38577823374659,-0.282069623013255,0.0792740493147516,0.26493184866009,-0.134997432929428,-0.0686936790796335,0.312933426159324,0.0202311504751425,-0.0307784453261579,-0.0921303635758337,-0.446508666552709,-0.553622048354383,0.010839963640148
"somepriv_mu",0.00730236018339679,-0.265986091008901,0.0523924171879334,0.0263299260895386,-0.558473352279396,1,0.655049526074115,0.397039029407505,-0.223601183147579,-0.0882870768388103,0.252256832313635,-0.0509559571624889,0.148230144980716,0.219356567084336,0.294698895302153,0.299852422692005,-0.258855872029995,0.0126335375466936,-0.00863082668840565,-0.235284929036575,-0.147580774715678,0.188327467222779,0.0825043015095498,0.199229330105695,-0.212726428613877,-0.0475902539460256,0.284401359851056,-0.00813571350876049,-0.142677508508374,-0.157335951298654,-0.201248687201589,-0.374902268176898,0.0239279510138175,-0.192204821570636,0.0840141685558227,0.0494371982751052,-0.280334073422577,-0.305484080414128,-0.218482747362058,-0.169794678552266,0.163205744975162,-0.215487636410904,0.0262546448566277,-0.387800503445697,-0.306915191052812,0.142441288238797,0.191239279790432,0.206816120441611,0.29340609563395,0.166309881963312,-0.0204048339825467,0.0120521327421589,0.162368313062419,-0.0843266571509113,0.21235821017791,-0.199462910671317,0.0287883649317476,-0.0840390987963474,0.386997080562885,-0.0380924978023869,-0.00195214420800713,0.0812173129616541,-0.0256369163512063,0.0984709555012871,-0.0802084337634712,-0.191093056785424,-0.111018622959376,0.0771601282825288,0.105597688841265,-0.0507881667076971,0.160853519130809,0.264576228476921,0.100210017832935,-0.0949222758184326,0.204909201629034,-0.262321502114733,-0.26838119807935,-0.075543061125968,0.324937880584229,0.138300218715166,0.0463935588874248,0.0289201856948156,0.00061517783055321,-0.0103176761922066,0.192798182739682,-0.153487748866251,0.103473706781568,0.0400835573928006,-0.0621448891147799,-0.178999609850862,0.371970432911548,0.372802329143453,0.0407962117945198,-0.0573458042376259,-0.124700092906846,0.0399509320207735,0.0731720706624592,-0.204516984295973,-0.0527470693421881,0.00927626765036416,0.03792202147563,0.128780704355418,0.317558453933512,-0.0796080946025902
"notpriv_mu",-0.0852144133335645,-0.0991967070918895,-0.0353688078208125,-0.0191614847527349,-0.381579189768708,0.655049526074114,1,0.286299555468182,-0.196519676461155,0.160903379821882,0.210242518474166,-0.119008739648968,0.173419173569169,-0.0109031225376703,0.0895520283149354,0.352315941187007,-0.121003444219913,-0.210741693615234,0.183185282449391,-0.18359938151201,-0.406582114317635,0.39380226310747,-0.151781420094611,-0.138725462595871,-0.325649721577861,0.276209324862683,0.0343433477737819,0.102544396765356,0.0476790131908946,0.0528151826332638,-0.38516157559337,-0.183967678237705,0.125120680818591,-0.279018853328195,0.343941592645404,0.165277778478551,-0.471202289585387,-0.628951938641864,0.0574147319840861,-0.471997323163872,0.389224927726076,-0.0439621031005529,0.222277058388744,-0.444308750972998,-0.0767094132852301,-0.187266061912618,0.082918150900436,0.0782426963661851,0.0792967487299081,0.317279367834998,-0.225996702393108,0.00155987096972923,0.137575604891113,0.0304796666109599,0.108585827649147,-0.00645494745609322,-0.238965225809009,0.03424540816191,0.625198505289107,0.134426203720761,-0.14071679175234,-0.205268245542828,0.250213917692132,-0.131672387072349,-0.0551668104567704,-0.149295764222024,-0.240009008393977,-0.171681661521153,0.210668297591317,0.036807218775455,0.030526789203794,0.123229539084485,0.175954703040017,0.0736354382387246,-0.0552850717873981,-0.19749701000608,-0.210958441125684,-0.269755939829147,0.138963122322076,0.223167586535622,-0.269526699268296,0.244623697766276,-0.0196261463156055,0.0902746592208457,0.0285288147763874,0.0871989434034138,-0.152446217868518,0.170690380479101,0.20993292227807,-0.147335704054769,0.488814701149108,0.584336282415155,0.103882066820866,0.0295180049248678,-0.303653765048987,0.313951010897106,-0.175748119374172,-0.115262364553323,-0.0232123306795449,-0.230517208587919,-0.227831248776627,-0.0813704185928388,0.302864815797766,0.147352037582272
"device_mu",0.116870491186062,-0.744256800101313,0.319889483173196,0.270028049666036,-0.641227117609537,0.397039029407504,0.286299555468182,1,-0.403133596655911,-0.362158385493628,0.234245004597846,0.0777082009442791,0.433296004125768,0.526155593412351,0.600646143779543,0.703745117674081,-0.513484155628427,0.0034841965442114,0.1836202320633,-0.578851643425487,-0.0402211746306347,0.344249321714814,0.337650649665859,0.259774558200203,-0.238073123208492,-0.418842204950927,0.485770364111986,0.401454104907629,0.254534371670419,0.0390472078135575,-0.397423456357252,-0.267669392987127,-0.458066183417666,-0.660595955007233,0.317282040402172,0.188696671512424,-0.505775049048816,0.0783810638455475,-0.669306007893939,0.0107799876211435,-0.147418572287432,-0.777427127942695,-0.272491523304881,-0.746000550174749,-0.849151395280789,0.412336568204196,0.748052001704326,0.668518416703026,0.816998659196464,0.329258538169037,-0.293386733872279,-0.142641209421659,0.335145185135979,-0.143934975818315,0.457030889922556,-0.595494884871797,0.153496162356888,-0.528093626825509,0.505672641592767,-0.164486712514151,-0.273518367262931,0.333234529756665,-0.151612897360688,0.269076461611182,0.0147934345520471,-0.296366290595499,-0.126032348375133,0.269760512653235,0.00186569081319108,-0.0730272886000289,0.0951368003203236,0.743055954124139,-0.168560468160679,-0.425281657643773,0.542356681184089,-0.656276796309798,-0.723053491610224,0.357817977926667,0.597622623998753,0.12419631559221,0.144667937372743,-0.122153086177853,0.0110379443331299,-0.0752424089916071,0.491029247505728,-0.556630416852518,0.258755688757432,-0.211046648483163,-0.329587618337224,0.0991961080563033,0.598018461177004,0.309551619886289,0.290906555778357,-0.433057822721557,-0.227769208527666,-0.078815765066852,0.116033125417711,-0.238039158456653,-0.143662686806993,0.24157596475238,0.160969360211981,0.679740885656547,0.669723786965838,-0.298411160608113
"voucher_mu",0.0874381876532758,0.286800753255891,-0.121964377166448,-0.229216318940564,0.297741998498092,-0.223601183147579,-0.196519676461155,-0.403133596655911,1,0.140688469815135,0.0139812469911145,0.570742481470044,-0.430260510104769,-0.196460538956127,-0.329761157102869,-0.289792533541549,0.355487109393952,-0.0992770804286305,-0.165123539706717,0.392245086236469,0.0118809490191961,-0.190010209335227,0.0517868650728745,-0.180948835504753,0.151145881495339,0.14271193774198,-0.129063232293028,-0.15631338147023,-0.10171934244678,0.053343320097147,0.27471589799352,0.125940158596098,0.149807182830468,0.231765794367644,-0.139749709835762,-0.0169858396603027,0.283257735605025,-0.0303237139918667,0.279462591079524,-0.0226724607160268,0.0773105294181014,0.331257059982039,0.0702083213539902,0.344047776720716,0.384916004551031,-0.120711767639411,-0.309697511477378,-0.324035565567962,-0.331218275874714,-0.0692179771005546,-0.117263681795616,-0.0818560628018699,-0.431991144133127,0.225418073615857,-0.112925025605199,0.333830066160203,-0.173885462980267,0.186768957301241,-0.357162374474369,0.12379843397271,0.181281987012969,-0.223234613281254,0.00588129367559948,-0.0811815054299765,0.0989626687203816,0.120843498821396,0.0907841477998332,-0.0128101732215134,-0.016571672918525,0.0390122147130744,0.0812671455266931,-0.403157395840868,0.0506730480966743,0.129550602035006,-0.121881508831889,0.24053357448372,0.376667562355968,-0.0344766579789302,-0.22667589195425,0.0383066428953783,-0.25962846556237,-0.0904418907857895,-0.304014727783863,0.243398884228206,-0.110615741454915,0.26039625159498,-0.199793419250153,-0.00416115187423319,0.111828441603839,-0.188481641245421,-0.202715801918338,-0.327173386697201,-0.0620300940253751,0.215921044792796,0.0754531383507757,-0.040142046229934,-0.043222860938706,0.195496878969003,0.0703530545682035,-0.0839771477878511,0.0512590021635251,-0.365459717173051,-0.318114315792916,0.0921695316826032
"cash_mu",-0.27496972242726,0.600714503519272,-0.617688702153412,-0.593409035568725,0.0611905208881165,-0.0882870768388105,0.160903379821881,-0.362158385493629,0.140688469815135,1,0.0543419460511904,-0.342855646834211,0.393286234022864,-0.464295182493462,-0.618809433997173,-0.173575105540609,0.526644712837291,-0.273189798322358,0.320158540030014,0.471848848928511,-0.249052440658708,0.355059168182538,-0.223374560898494,-0.507329492710942,-0.084284517387782,0.56782016117289,-0.176073600858861,-0.357641374615867,0.161352798033798,0.214395973298979,-0.120713482855217,0.184743520348767,0.50543530980513,0.0894773946914441,0.369477232536514,0.13471229224952,-0.109611483104411,-0.407458680920003,0.527654704733086,-0.384747876919661,0.308899758514875,0.478937534917516,0.413697701593212,0.155990826357968,0.561093933975009,-0.575391600925036,-0.396257548984246,-0.441144217490255,-0.436986990978935,0.0714582678342871,-0.121777544826375,-0.0134458691773339,-0.421834887350823,0.319645321842539,-0.297120450127372,0.609177528468079,-0.354436911542724,0.193431960520165,0.160786553173281,0.390816835717859,-0.206795715685883,-0.726966073285357,0.589313064269196,-0.321847371097966,-0.330506434772523,0.232071911534257,-0.143344528987088,-0.539635219952561,0.0714643835256859,0.247202627697949,-0.287518099119418,-0.49268675575661,0.469211203065949,0.268680394371373,-0.541365337297022,0.369187108608475,0.318346534562115,-0.386792073049651,-0.370715648801539,0.00484594048725743,-0.471948113588087,0.383497692824502,-0.237020816002117,0.118115263886482,-0.368294408631358,0.656852630323968,-0.359612341767434,0.174112038661461,0.611205870198172,0.0983179278952993,0.120602399379683,0.217075162515735,0.0773585043171208,0.218482956013813,-0.363237504520836,0.526742193005108,-0.321976940849726,-0.124536778774236,0.229732321610318,-0.390242504869847,-0.53163116569906,-0.439799651049,-0.177132563871244,0.532310381156298
