"","neither_mu","permhc_mu","dist5_mu","dist15_mu","avail_mu","somepriv_mu","notpriv_mu","device_mu","voucher_mu","cash_mu","pricenone_mu","pricevoucher_mu","pricecash_mu","s0101","s0201","s0202","s0301","s0302","s0303","s0401","s0402","s0403","s0404","s0501","s0502","s0503","s0504","s0505","s0601","s0602","s0603","s0604","s0605","s0606","s0701","s0702","s0703","s0704","s0705","s0706","s0707","s0801","s0802","s0803","s0804","s0805","s0806","s0807","s0808","s0901","s0902","s0903","s0904","s0905","s0906","s0907","s0908","s0909","s1001","s1002","s1003","s1004","s1005","s1006","s1007","s1008","s1009","s1010","s1101","s1102","s1103","s1104","s1105","s1106","s1107","s1108","s1109","s1110","s1111","s1201","s1202","s1203","s1204","s1205","s1206","s1207","s1208","s1209","s1210","s1211","s1212","s1301","s1302","s1303","s1304","s1305","s1306","s1307","s1308","s1309","s1310","s1311","s1312","s1313"
"neither_mu",0.245697518242136,-0.0390672674935158,0.0671263752009251,0.0509837894154396,0.0118703703065755,0.000710049187659725,-0.00934010731356475,0.0264371336121905,0.0183950977937554,-0.0827098845134689,0.00976650809162362,-0.000179853457218133,-0.00488343859725344,0.0635937824211977,0.110040634698158,-0.0103451019000345,-0.0927928429246762,0.0409777151749159,-0.0160643058942742,-0.0820206619038973,0.0947233609387997,-0.0865198718579768,0.0371002911856789,0.00328661509271764,0.0118619576810172,-0.0249635030348992,0.00545802361976766,0.00344058434017476,-0.000302918622697237,-0.0247619525306316,0.0336539594191399,-0.0327229810267326,-0.093500918903785,0.0140974697405775,-0.0328176120131531,-0.0201987465155968,0.0307317058960904,0.0517203463775349,-0.0738407258494011,0.115243748363501,-0.036158563476461,-0.0337613728354734,-0.0470599634737025,0.00688376768733975,-0.133515045743647,0.0892494201014671,0.040611565366483,0.0280817561885999,0.0437053515997852,-0.0787656926385417,0.0578536916388443,-0.0701993915030558,0.107005767791209,-0.0765142552765045,0.023283835836396,-0.106540460413202,0.0713640795375337,-0.0654288723350869,-0.138202857975124,-0.0557233059411761,-0.00501033117518298,0.163788685937862,-0.177604050845563,0.100169670969522,0.0477277891008401,0.00398090627949477,0.120292262964989,0.106840920436447,-0.00756016880186517,-0.000614256520526445,0.00346357895589234,0.0131176939728783,-0.0103853068837881,-0.01166928621809,0.0123858231288462,-0.00746487984496935,-0.00968374478664751,0.0102658737560174,0.00479977276034474,-0.00652680057223192,0.0161845469676697,-0.0187344709574106,0.0058368554630727,-0.00626528277479037,0.00681563108626025,-0.0168018326686704,0.00596767631223302,-0.00639711032130256,-0.00882416398631988,0.00122557949181337,-0.00498606813957428,-0.0155514444036571,-9.98090543699508e-05,-0.00873476249903898,0.00382875846383714,-0.0210122849682791,0.0128820974809201,0.00209966594611897,-0.0015679231665336,0.018236462962709,0.0123888803785004,0.00440015194717163,0.00010101052929482,-0.00443858344732529
"permhc_mu",-0.0390672674935159,0.261179975701305,-0.111934759584644,-0.106545763041889,0.0204762978973891,-0.0266657415319218,-0.0112100001152535,-0.173580870385176,0.0622086526139228,0.186298865608543,-0.0082731329637519,-0.00377612297254341,-0.00498487469281924,-0.246368477577034,-0.334973120614289,-0.136314703148652,0.211162808604425,-0.0322281563220741,0.022796710189979,0.175964381748199,-0.038402316102982,0.0217515301237893,-0.0605398386563618,-0.0190851420181361,0.00259795898618738,0.0328454691911186,-0.0193989141677124,-0.0166150656838143,0.00504750904407925,0.00946646839841593,0.00655457014434067,0.0396034563684249,0.129530751385568,0.0712556341521951,0.00479980086620035,0.000585445043208279,0.0366114455642492,-0.0510508706662018,0.14591044556458,-0.0590929879718583,0.0383046325277382,0.131211484408099,0.0453633918542762,0.107629002621324,0.4046995021524,-0.119723083163243,-0.109658965529066,-0.0705063080023565,-0.152490074659571,-0.0388116334007457,0.0292528792134235,0.0283365025171131,-0.176034960970451,0.118278227316758,-0.138164771607597,0.203039254281378,-0.0951769311589256,0.120503418642243,-0.0796646969794469,0.0692600616090005,-0.0170671552349307,-0.293373772001949,0.196050920438597,-0.151304165101988,-0.0489652933621026,0.0961115865744728,-0.0253718007112854,-0.183445781226069,0.000868096692515733,0.00502969551239201,-0.0110757097596429,-0.0301861085123722,0.0164011034023562,0.0129809394213632,-0.0255529908967979,0.0206758963977392,0.0205937902381251,-0.0109958347979335,-0.0188018239549005,-0.000220021151043147,-0.015714781662927,0.0165894077320712,-0.00613568244424657,0.00754088469931524,-0.0166930457133166,0.0269582284449357,-0.0123316404726333,0.00745813659520291,0.0129333820675854,-6.90825260790865e-06,-0.00596164573739413,0.000520383059648837,-0.00638654880936701,0.0107964136944925,-0.00112192559186436,0.0182744823121969,-0.0122006977048896,0.00202957258879074,0.00697585456894045,-0.0139749799320525,-0.0154454164256323,-0.0120647471952099,-0.00590220575039087,0.00506254686369375
"dist5_mu",0.0671263752009251,-0.111934759584643,0.120622838439728,0.101826480820694,-0.00152093345771578,0.00356950510314945,-0.00271627424648837,0.0507018546557006,-0.0179782884057885,-0.130183692067074,-0.00129862062995098,0.00286184965457668,-0.00331128112041948,0.0873321177620224,0.142880930619768,0.0175769533394175,-0.0924548777516605,0.0328016011035571,-0.0308727372068653,-0.0804453793320523,0.0421557408693552,-0.0574154139478339,0.0301293304189017,0.0093068894709322,0.00238246611342175,-0.0169669236125037,0.00433845884168773,0.00474842422390198,-0.00740387422734764,-0.010899081317152,0.00774653476836362,-0.0168526720205845,-0.0625592318152518,-0.00794585066230638,-0.0193778639252899,-0.0120928880250268,0.00615718738122417,0.0384981559144567,-0.0619077599190565,0.0634254764496247,-0.01550910888543,-0.0410973100309097,-0.0240018933356421,-0.0197224735849055,-0.144762999775582,0.0692723854477113,0.0346521964472388,0.024079171335138,0.043396923676187,-0.0162106619834451,0.020236140912382,-0.00377358932032512,0.0746997286676273,-0.0499725029414817,0.0442733880882706,-0.0981139339274325,0.0541784967972582,-0.0259500208612838,-0.031310856410893,-0.0534489471910707,0.0308161356981704,0.172955878342018,-0.124263269587118,0.0784041360867688,0.040573031692369,-0.0285227224145827,0.0365037538581238,0.0845364742949969,-0.0024951155446275,-0.00373650907396871,0.00832368541285105,0.010678215529584,-0.00773821781869355,-0.00716582524742876,0.0105816974960925,-0.0068281640209727,-0.00582666186316719,0.00695230938790088,0.00556863209361104,-0.000991317922034181,0.0103288576439895,-0.00912721238629537,0.00430681474169717,-0.0035465868178126,0.0062986015026234,-0.0131329225819433,0.00553378566935058,-0.00175165358490697,-0.00712473098896661,-4.96955363591051e-05,-0.00104716893945372,-0.00559576446245352,-0.000807924558246335,-0.00546621311291209,0.00610604967758266,-0.0139739434425183,0.00901208095521057,0.00226003187814223,-0.00270393380056484,0.00862389619843642,0.00822917451168854,0.00440770538484763,0.00123306513708938,-0.00295903331755627
"dist15_mu",0.0509837894154395,-0.106545763041889,0.101826480820694,0.12505600662288,-0.002704595384202,0.00182652961353459,-0.00149837272496449,0.0435782985237773,-0.0344031636061073,-0.127344029307813,-0.000212320058076046,0.00373934271199209,-0.00125612146135306,0.0785028659702832,0.157577929590923,0.0317168715933721,-0.114549865896045,0.0158827542754295,-0.0271921132497827,-0.0917850574785971,0.012788734244768,-0.0680475724805227,-0.0150940618234165,0.00905010011492656,-0.000205887932017743,-0.0135740174793708,0.00214203091822098,0.00407574549634643,-0.0129420695457028,-0.0147975111836166,0.0158991162995778,-0.0184315036397993,-0.0500160254890841,-0.00341204552017483,-0.0214354530667024,-0.0204015563208863,0.0139929192575173,0.0262178065231974,-0.0462876728086148,0.0400167699677445,-0.00757932130760636,-0.0396447727152232,-0.0220672037789718,-0.0194848211701453,-0.131960351462416,0.0570254411246764,0.0223372202297429,0.0213173988211214,0.0318293474166842,-0.0132969274508495,0.0156681723376998,-0.0183147035847475,0.117456215376209,-0.059555390135682,0.049518844371694,-0.100000953372864,0.041155424970901,-0.0222147096628032,9.74592300244597e-06,-0.04314074014395,0.0508091005273415,0.165820776928153,-0.101951189140388,0.049870322982898,0.0527351949862885,-0.0362657012768936,0.0294681325231732,0.0872575299474096,0.000312034693685649,-0.00254747619502814,0.00535453859148167,0.0108368983873588,-0.00880744129392371,-0.00229053964013565,0.0100185012497651,-0.00642071207029006,-0.00590393226947741,0.0049777127276782,0.00508505491966302,0.000393653053912821,0.00839315831531721,-0.00990333314206091,0.00467703058208778,-0.00249973965865769,0.00518216047079081,-0.0130435256687753,0.00386811020561699,-0.00246094494713955,-0.007046609609053,-0.00132046588682911,-0.00124916609921489,-0.00151515073424347,-0.000810973118898376,-0.00222014936366284,0.00221334904525899,-0.00876700951018694,0.00579380924542969,0.0032720726288049,-0.00273374359693561,0.00700058588762074,0.00764283280728079,0.00403394714765899,0.00177135005828957,-0.00243706001689647
"avail_mu",0.0118703703065755,0.0204762978973891,-0.00152093345771579,-0.00270459538420199,0.00578194037547447,-0.00833036555254013,-0.00641593431000599,-0.0222514233525847,0.00960898404603018,0.00282353456659905,-0.00101897933474728,-0.000337725010384775,-0.00227287907395879,-0.0265392529500325,-0.0271523327509547,-0.0217207147697215,0.0181438624374666,0.0030050974490286,-0.00206240287164979,0.0143762990374416,0.00959263012850147,-0.0126284325114953,-0.00420655398121993,-0.00202815039438183,0.00210848459341081,0.000924244591941273,-0.00325795979316634,-0.00060515623910509,0.000236013087981933,0.000211918022498239,0.0052153472287728,0.00603296184243113,0.00374903482859754,0.00959302125347676,-0.00552917803757623,-0.00272332801906584,0.00994941893042526,0.0038611304221803,0.0123775396483341,0.00730808884758853,-0.00044458662590365,0.0119006940516702,-0.00019736065391222,0.0172181140514459,0.040173275534845,-0.00636055188398886,-0.00962434260117164,-0.00594355823192236,-0.015740124081777,-0.0156533170501968,0.0111609299167881,0.00384846284904169,-0.00601164372488489,0.00523257501057578,-0.0139908652632077,0.0110974446680583,-0.00140320736288531,0.0119971059598849,-0.0360183043806348,-0.00200608153946368,0.00129459192199349,-0.00856362481628905,-0.00148100211753194,-0.0104276809325945,0.003415171042009,0.0106704256573862,0.00833604325742527,-0.0112002008941291,-0.0013718161841173,6.60824856819344e-05,-0.000517650082017653,-0.00282562406239077,1.50278980465045e-05,0.00069821596032442,-0.00245507952786202,0.00220885599928638,0.00221452568147407,-0.000395237491373981,-0.00237404893929351,-0.000599127656331374,0.000237486386518131,0.000338244097863972,0.000706518046086782,0.000123553556737196,-0.00124054019104305,0.00135533577198454,-0.000614575998701147,0.000552557125419005,0.000519354523282562,0.000275953662456174,-0.00167462889093833,-0.00253232013418499,-0.00119774007677285,0.00038226575575741,0.00160931807089068,-0.000956835576818786,-0.000416122418149125,0.00127337867375355,9.81332337894743e-05,-0.000158051625626211,-0.000469646309581694,-0.0012348856075288,-0.000983106327396639,1.71613462267503e-05
"somepriv_mu",0.000710049187659736,-0.0266657415319218,0.00356950510314946,0.00182652961353456,-0.00833036555254014,0.0384812879533955,0.0284143260246286,0.0355440664313721,-0.0186165613405674,-0.0105097912897368,0.00315714657502448,-0.000493876421149884,0.00173763033487287,0.0315823471278945,0.0492874877061844,0.0294661534715006,-0.0335657899845675,0.000981900741341313,-0.000625966744371633,-0.0257987935578498,-0.0146228128943359,0.0221217626975718,0.00543690903229155,0.00334423741117605,-0.00319934582113191,-0.000973642464130477,0.00443622781497585,-9.97791628119537e-05,-0.00647148572951543,-0.00668705206792001,-0.0122547538645792,-0.0193507050596775,0.00186882231346016,-0.0115030612042195,0.00463694234948502,0.00211544520332429,-0.0184337153008499,-0.020046123813334,-0.0173987508502368,-0.0152472884483872,0.00749387425172713,-0.0136124406928044,0.00100345837566976,-0.0304258321721406,-0.0581693529376322,0.0109287348462742,0.0123662917425959,0.00828405648363683,0.0222033323785199,0.0196419666850863,-0.00230268081394862,0.00124776297370293,0.0251433812802466,-0.00988109942229791,0.0212825340393312,-0.0227358738574954,0.00383573784438314,-0.00830483791287267,0.068043581176926,-0.00387487251980802,-0.000260258671848962,0.0158529191442325,-0.00406134377532203,0.0136402776929414,-0.00734899787916049,-0.0214434973094885,-0.0122706227580502,0.0102766340349169,0.0013516216651667,-0.000455193863789664,0.00230623032246758,0.00455605616484258,0.00136145990773041,-0.00125935215021978,0.0030386851959504,-0.00340478216792228,-0.00386760174043722,-0.000744559638061541,0.00395399476682798,0.00125995961111107,0.00070981108173782,0.000477249172622633,7.77748037432319e-06,-0.000119465184146464,0.00217262264319369,-0.00224216538726056,0.00140989099855008,0.000367474510848338,-0.000533016196539482,-0.000966367692262898,0.00317651865389948,0.00631317022960452,0.000446903850282553,-0.000713385035815421,-0.00195417066812821,0.000730510925002899,0.00114350397089365,-0.00214695525102089,-0.000660057637049157,0.00012288915393251,0.000498709457328184,0.000918830975265984,0.00145478490971085,-0.000325138765369874
"notpriv_mu",-0.00934010731356474,-0.0112100001152535,-0.00271627424648837,-0.00149837272496451,-0.00641593431000598,0.0284143260246286,0.0488963955306184,0.0288913747994687,-0.0184435718567174,0.0215911484689553,0.00296610131039781,-0.00130021690292594,0.00229156189375914,-0.0017695314185324,0.0168829068366914,0.039026697454432,-0.0176868383710965,-0.0184631884138823,0.0149762495094691,-0.0226929065465862,-0.0454112054369816,0.0521432257328447,-0.0112747704828057,-0.00262490524772601,-0.00552082614988722,0.00636991216823914,0.000603863003526734,0.0014176524298153,0.0024377511072834,0.00253034153001321,-0.0264379705633396,-0.0107036987147291,0.0110155255461309,-0.0188233243309319,0.0213982118951133,0.00797216024982388,-0.0349267361473686,-0.0465235566872381,0.00515392252450777,-0.047777310658663,0.0201458329734664,-0.00313044246814543,0.00957638236374325,-0.0392945742008984,-0.0163884595030557,-0.0161959600657417,0.00604401620952704,0.00353277595615272,0.00676422479810816,0.0422398502169034,-0.0287485802705415,0.000182041534060253,0.0240147160981752,0.00402591146677556,0.012267075817612,-0.000829384344696637,-0.0358905611295767,0.00381474703481018,0.123911332763652,0.0154140060539588,-0.021147199420561,-0.0451643767117705,0.0446816345238699,-0.0205600133320921,-0.00569770007880735,-0.0188847752023468,-0.0299028053770014,-0.0257748104937224,0.00303957973413318,0.000371860876175379,0.000493363324794911,0.00239203040239741,0.00269468633477813,0.00110123383109003,-0.000924156983941676,-0.00288954584579575,-0.00342689020730878,-0.00299701937201137,0.00190611427362884,0.00229180940184353,-0.00464836799669625,0.00455047001412698,-0.000279696417100891,0.00117825405693665,0.000362392096909824,0.00143588207253402,-0.00234145495842826,0.00176393928333125,0.00202968743376644,-0.00089662727066815,0.00470544684677942,0.0111543780381632,0.00128276902192225,0.000413926252359849,-0.0053639905838775,0.00647105824434942,-0.00309596927216833,-0.00136393841134456,-0.000327428061834116,-0.003442367702284,-0.00337740419160837,-0.000654432719870899,0.00156400290558469,0.000678392896566599
"device_mu",0.0264371336121904,-0.173580870385176,0.0507018546557006,0.0435782985237771,-0.0222514233525846,0.0355440664313721,0.0288913747994687,0.208265926900652,-0.0780833924761386,-0.100295122108419,0.00682034678952115,0.00175216295971672,0.0118165270215501,0.176235041682327,0.233701327431177,0.160885013542178,-0.154899569639526,0.000629984073535115,0.0309815905007922,-0.147657962143484,-0.00927129071103258,0.0940726696659814,0.0517639461333698,0.010144362343545,-0.00832979701815165,-0.0199349997212196,0.0176277750521579,0.0114541910827885,0.0268583438613354,0.00386083312201275,-0.0563001231820051,-0.0321411751742501,-0.0832290702940655,-0.0919749106790992,0.0407388686871409,0.0187843634079797,-0.0773710874890141,0.0119656774404681,-0.123996651206329,0.00225201415279053,-0.0157473497047757,-0.11425037815472,-0.0242287229074081,-0.136162512568642,-0.374408144812803,0.0735987029327914,0.112532635500708,0.0622954535786814,0.143831723304237,0.0904666008390747,-0.0770238922915295,-0.0343555980048188,0.120736810578574,-0.0392365700810608,0.106557530429178,-0.157910804578488,0.0475788293353233,-0.121407359185666,0.206839387810741,-0.038925401499902,-0.0848328622081817,0.151319513517377,-0.0558758863422475,0.0867111767415228,0.00315327184396183,-0.0773684375963473,-0.0324068716537556,0.0835835168235093,5.55552001404561e-05,-0.00152266144370259,0.00317325493611122,0.0297676176369717,-0.00532762635058583,-0.0131262300084294,0.0187108516500931,-0.0198164932042686,-0.0242406577284183,0.00820448603050965,0.0169179247504823,0.00263224785939281,0.00514922285366621,-0.00468956827289641,0.000324646525543968,-0.00202677933086631,0.0128728004973708,-0.018916691186637,0.00820218856268684,-0.00450115257484543,-0.00657642980245636,0.00124586005860624,0.0118806962655628,0.0121951255569081,0.00741365000206342,-0.0125329280828248,-0.00830376477206826,-0.00335271940117584,0.00421850564361035,-0.00581334812181101,-0.00418226764282167,0.00744523341752614,0.00492474393805978,0.0112826869043911,0.00713764830547246,-0.00283537755305637
"voucher_mu",0.0183950977937555,0.0622086526139227,-0.0179782884057886,-0.0344031636061072,0.00960898404603017,-0.0186165613405674,-0.0184435718567174,-0.0780833924761385,0.180136258317411,0.0362352472608788,0.000378593788582117,0.011968488224769,-0.0109125969039712,-0.0611990755790928,-0.119325549058567,-0.0616139207012986,0.0997329069922018,-0.0166942678984004,-0.025910967188208,0.0930547546741902,0.00254699468515963,-0.0482901738786309,0.00738364598108919,-0.00657166456733846,0.00491826385476155,0.00631709716233097,-0.00435572525979631,-0.00414778403896934,-0.00998223510154133,0.00490526581178707,0.0361935430553565,0.0140643197235943,0.0253145904842524,0.0300105712178215,-0.0166880597728631,-0.0015725726540507,0.0402990247611313,-0.00430526597051791,0.0481504523307907,-0.00440497013676803,0.0076804271746358,0.0452745930356319,0.00580573986656125,0.0584021212660498,0.157840186853425,-0.0200382308296827,-0.0433287213919348,-0.0280819404219079,-0.0542299356796822,-0.0176873018208503,-0.0286312277626061,-0.0183355865997013,-0.144734816746283,0.0571485068505058,-0.0244861354320369,0.0823285973903739,-0.0501269133793686,0.0399328436241829,-0.13586917697226,0.0272463849412029,0.0522906131827454,-0.0942753017387741,0.00201582395091822,-0.0243303260882548,0.0196180236459753,0.029339301514854,0.0217098367998524,-0.0036913797165868,-0.00045892620125603,0.000756502273351046,0.00252094218640944,-0.0150206472912712,0.00148952060513798,0.00371872660245458,-0.00391054997115087,0.00675471322544061,0.0117442057279979,-0.000735200578863,-0.0059678355779729,0.000755063747250772,-0.00859435249676151,-0.00322915959170175,-0.00831588816314365,0.00609752816620793,-0.00269695729288298,0.00823008697607103,-0.00588996181326713,-8.25373077491373e-05,0.00207521467771881,-0.00220158339879982,-0.00374547034426517,-0.0119873344270823,-0.00147018662412974,0.00581156486592248,0.00255828421197519,-0.00158808987090206,-0.00146144208911074,0.00444026827023049,0.00190476872990156,-0.00240700599819909,0.0014584852492058,-0.00564157173017882,-0.00315307347806212,0.000814469213657206
"cash_mu",-0.0827098845134689,0.186298865608543,-0.130183692067074,-0.127344029307813,0.00282353456659904,-0.0105097912897368,0.0215911484689552,-0.100295122108419,0.0362352472608787,0.368251316889913,0.00210394483685563,-0.0102797366739203,0.0142618858566416,-0.206792743001875,-0.320156596618866,-0.0527655752323513,0.211253510666917,-0.0656832214478298,0.0718309004759658,0.160049949761997,-0.0763377392185915,0.129019142029811,-0.0455361743502884,-0.0263439741099526,-0.00392134358167979,0.0359368202911661,-0.00849618132587241,-0.013568733693809,0.0226397869961472,0.0281884186828205,-0.0227391733253685,0.0294981850167856,0.122116805006704,0.0165657017290326,0.0630832702705896,0.0178321008118777,-0.0222966900562469,-0.0827128061311585,0.129986452130452,-0.106878937539254,0.0438768945858896,0.0935922465959371,0.0489129297884814,0.0378599913353811,0.328971879645152,-0.136566716976493,-0.0792660637377739,-0.0546621374374545,-0.102297469528927,0.0261075882092181,-0.0425123629993801,-0.00430630140886046,-0.202074843884456,0.115866020744411,-0.0921158108544001,0.214803190674557,-0.146089235486012,0.0591323804420433,0.087453370849491,0.122981160452089,-0.0852868755004765,-0.438957148058209,0.288800133346648,-0.137915278447339,-0.0936775146855745,0.0805602201257934,-0.0490116411420172,-0.222333851476739,0.00282968268733692,0.0068538453378748,-0.0127521864625795,-0.0262455990819903,0.0197201150771619,0.011027127031177,-0.0248348790162863,0.0148234510515801,0.0141917888500646,-0.0117931502130737,-0.0139548129768233,0.00013657121960173,-0.0223370952262242,0.0195773640641802,-0.00926983686495365,0.0042307059584326,-0.0128387826184674,0.0296830979687486,-0.0151578454028551,0.00493784118680688,0.0162169754718901,0.00164198955200172,0.00318600382374531,0.0113717256197332,0.00262149888618539,0.0084078947217425,-0.0176089617976572,0.0297951284473534,-0.0155655494816867,-0.00404425559688597,0.00889309601959114,-0.015992715390234,-0.0216278780179572,-0.00970704552737424,-0.00251027252126027,0.00672548817607956
