"","Estimate","Std.err.","t-ratio(0)","p(1-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"neither",-1.49699827707444,0.128100474929443,-11.6861258937485,0,0.14755607501141,-10.1452839333026,0
"permhc",0.810865054255731,0.0758919457484014,10.6844678477994,0,0.083145091073749,9.75241044040111,0
"dist5",-0.175541498879746,0.104189032373112,-1.68483663665397,0.0460100471429752,0.0856253517450924,-2.05011127314647,0.0403535735669414
"dist15",-0.222826579541536,0.093331338355925,-2.3874786697237,0.00848219358172597,0.0824350655442676,-2.70305576965761,0.00687052176190694
"avail",0.0729293382624067,0.0126681948410929,5.75688479512801,4.28401703000958e-09,0.0120639765857121,6.04521550122871,1.49210421795942e-09
"somepriv",-0.093952159515778,0.0479346474089397,-1.96000522783143,0.0249975896303801,0.0451389568176195,-2.08139855547359,0.0373974407931348
"notpriv",-0.154270124617998,0.0471080469614559,-3.27481469873338,0.000528656509466763,0.0425937297542747,-3.62189753064571,0.000292449968609665
"device",-0.54145822316835,0.0400774715331799,-13.5102890091277,0,0.0805137971145817,-6.72503648533411,1.7554846465373e-11
"voucher",0.160215850918098,0.121384630391396,1.31990228418123,0.0934338224352333,0.0914098813283432,1.75271916547626,0.0796502242860178
"cash",0.415053204253781,0.128559640613382,3.2284875896781,0.00062223329232225,0.114560814207454,3.6229945389719,0.000291211972950567
"pricenone",-0.0184307480257867,0.0153973761968159,-1.19700576190365,0.11565215446697,0.0177199117504594,-1.04011511373971,0.298286422709411
"pricevoucher",-0.0348659536510134,0.0148365937867585,-2.34999718615541,0.00938677649522479,0.0127142198226946,-2.74228022932076,0.00610142639618183
"pricecash",-0.0276482114828596,0.015687186813016,-1.76247097790149,0.0389948778321126,0.0134468538289387,-2.05611006370565,0.0397719084310204
