"","est","se","robse","initial"
"neither_C1",0.1607,0.4755,0.431,-1.5065
"permhc_C1",3.2597,0.4179,0.5744,0.8156
"dist5_C1",-0.7997,0.2799,0.2766,-0.172
"dist15_C1",-0.923,0.3567,0.4243,-0.27
"avail_C1",0.2712,0.0794,0.0915,0.046
"somepriv_C1",-0.35,0.2255,0.3116,-0.1134
"notpriv_C1",-0.4372,0.2445,0.2503,-0.1133
"device_C1",-4.702,0.3379,0.4587,-0.6498
"voucher_C1",1.875,0.5002,0.4447,0.1291
"cash_C1",1.5435,0.4899,0.5352,0.3303
"pricenone_C1",0.0209,0.0728,0.0655,0.0374
"pricevoucher_C1",0.0738,0.0518,0.0389,-0.1235
"pricecash_C1",-0.0114,0.0453,0.0441,-0.1448
"neither_C2",0.0844,0.6323,0.8556,-1.4168
"permhc_C2",0.535,0.3087,0.3337,0.8867
"dist5_C2",0.8004,0.4422,0.3543,-0.2626
"dist15_C2",0.5084,0.4015,0.3044,-0.1907
"avail_C2",-0.1205,0.0748,0.0726,0.1118
"somepriv_C2",0.3598,0.2399,0.2823,-0.0033
"notpriv_C2",0.1364,0.2187,0.193,-0.0678
"device_C2",3.1951,0.2517,0.2948,-0.4538
"voucher_C2",-1.0641,0.648,0.7689,0.1988
"cash_C2",-0.253,0.6466,0.6874,0.3696
"pricenone_C2",-0.2926,0.0658,0.0737,0.0231
"pricevoucher_C2",0.0133,0.0681,0.0787,-0.0198
"pricecash_C2",0.1051,0.0664,0.0734,0.0415
"neither_C3",-1.5063,0.2319,0.2587,-1.5686
"permhc_C3",1.1939,0.1245,0.1576,0.8969
"dist5_C3",-0.2787,0.1682,0.1631,-0.1651
"dist15_C3",-0.4215,0.1497,0.162,-0.2391
"avail_C3",0.1596,0.02,0.0222,0.0313
"somepriv_C3",-0.1683,0.0735,0.083,-0.008
"notpriv_C3",-0.279,0.072,0.0774,-0.056
"device_C3",-0.2673,0.0697,0.0809,-0.5629
"voucher_C3",0.2989,0.1913,0.1671,0.2207
"cash_C3",0.6848,0.2046,0.2041,0.3782
"pricenone_C3",-0.0042,0.024,0.0256,-0.0796
"pricevoucher_C3",-0.065,0.0239,0.0223,0.0364
"pricecash_C3",-0.0593,0.0252,0.022,0.068
"int_C2",-1.3594,0.5729,0.563,-0.0198
"int_C3",0.0569,0.4053,0.413,-0.0682
"age_C2",0.0041,0.329,0.3334,0.0805
"age_C3",-0.1055,0.2577,0.2616,-0.0831
"educ_C2",0.7986,0.3146,0.3198,-0.0076
"educ_C3",0.0025,0.2462,0.2508,0.0019
"ispoor_C2",0.1612,0.5167,0.516,0.0294
"ispoor_C3",-0.5254,0.3506,0.3463,0.0616
"urban_C2",-0.0749,0.317,0.3215,0.0413
"urban_C3",1.0422,0.256,0.2593,0.0562
