"","neither_C1","permhc_C1","dist5_C1","dist15_C1","avail_C1","somepriv_C1","notpriv_C1","device_C1","voucher_C1","cash_C1","pricenone_C1","pricevoucher_C1","pricecash_C1","neither_C2","permhc_C2","dist5_C2","dist15_C2","avail_C2","somepriv_C2","notpriv_C2","device_C2","voucher_C2","cash_C2","pricenone_C2","pricevoucher_C2","pricecash_C2","neither_C3","permhc_C3","dist5_C3","dist15_C3","avail_C3","somepriv_C3","notpriv_C3","device_C3","voucher_C3","cash_C3","pricenone_C3","pricevoucher_C3","pricecash_C3","int_C2","int_C3","age_C2","age_C3","educ_C2","educ_C3","ispoor_C2","ispoor_C3","urban_C2","urban_C3"
"neither_C1",1,0.534476852366164,-0.0410933617804075,-0.0289775520905128,0.789158908404917,0.203605752639112,0.337551911067084,-0.386357312665395,-0.0136756057016154,0.152494899873292,0.376479969879741,-0.242682373954318,-0.133180551223311,-0.000449347330814886,0.000222828199597654,0.000925711016740082,-0.000236519748486759,0.000298287432735129,0.00189754511915497,0.000441880711650429,-0.00257874350025057,-0.000313611775886587,0.00117681223319703,0.000213268602274311,-0.00150641822391685,0.00112033381559294,0.00310596806210492,-0.0285732030099753,-0.00334376345424997,0.00797699314887697,-0.0582348028243019,0.00414844332177218,-0.0102476749059027,-0.0860649610167982,-0.0114393104058783,-0.00332600879268687,-0.0139804365842549,0.0046076763003232,0.0120828680508025,0.0243794975657692,0.0583842451584912,-0.00170845367156189,-0.0051045293061719,-0.00856240828282697,-0.0219933593779042,-0.0185981160234976,-0.0383939030096897,0.0139607018271716,0.0132773008238379
"permhc_C1",0.534476852366164,1,-0.278587238836568,-0.404319201136008,0.644382679181704,-0.0841248062605229,-0.0970210921462726,-0.7340484827165,0.152845227417541,0.2404939759808,-0.0565933903400404,0.163610482444023,0.167114525893172,-0.000702017267500084,0.00111963955314897,0.002103133505623,-0.000209175331433793,0.000394781620940305,0.00377982955943975,0.00186715369418957,-0.00535338745803662,-0.00141937883920613,0.00290178803386982,0.000274656041955991,-0.00347144648497839,0.00293706358490518,0.0419284640761075,-0.0819352577292039,0.00216839679304811,0.0351441192747092,-0.0600845872877955,0.0307274939638257,-0.0242647516593204,-0.134214078029274,-0.00123005851061579,-0.0189055826601961,0.00766390383762915,0.00865350170906097,-0.00176609213828259,0.0363862835019893,0.0919735220492976,-0.00435730409386711,-0.0151439500660521,-0.0145211619560034,-0.0380364636692772,-0.0235812547676073,-0.0475295500209052,0.0201306020430879,0.0110662107494464
"dist5_C1",-0.0410933617804075,-0.278587238836568,1,0.70385968756052,-0.0845312891196978,-0.09246470371623,0.00410486805954282,0.108541650877898,-0.337249960387826,-0.503737463391164,-0.47310491081826,-0.0137757952686164,-0.0821100533335439,-0.000890551071940351,0.000550286544767275,0.00114389481513802,0.00086612107724283,-0.000360852708220031,0.000267960339115204,0.00191224967184241,-0.00319174770990862,-0.00193655744130167,0.000812323608448429,-0.000357589745989192,-0.00103712175130869,0.00138775658701586,-0.0195440881079868,0.0248269111836437,-0.0512910186888647,-0.0610294644758848,0.0178514017998585,0.0225056875944808,0.00424867527221662,0.00278555536921808,0.0142190740027052,0.0370596711626944,0.0536334534267709,-0.0273579398451494,0.00280871372681708,-0.00613185714989722,-0.00586949161737249,-0.0010509453224277,-0.00670501081584267,-0.00439668281705663,-0.0126323544882826,0.0115203951371176,0.0247444900034751,-0.00876863879041053,-0.0245748226923499
"dist15_C1",-0.0289775520905128,-0.404319201136008,0.70385968756052,1,-0.0859946709739899,-0.0035736385715743,0.178644760854915,0.0513809857141736,-0.412291687078053,-0.485355819080925,-0.239977186539961,-0.131749258978348,-0.14594258597647,-0.00171451103646291,0.000543075068476963,0.00152502157543696,0.000987326641532484,-0.000465999258058763,0.000922232864714428,0.00237593986296267,-0.00530109416621042,-0.0027896195262747,0.00102550633546586,-0.000334439429052293,-0.0020446431165029,0.00185411354831938,-0.0308082905749892,0.039929557600063,-0.0564636643458456,-0.0801173070008806,0.0152299909120742,-0.00515415234442883,-0.00558634114158457,-0.0230962454041882,0.0153895812440809,0.0293138192322363,0.032610400802159,-0.017733291788247,-0.00475567782203478,-0.00211138188697909,0.00731891692843942,-0.0118306583234399,-0.035038539165211,-0.00505863583741346,-0.0156609178769624,0.0131407492872879,0.0300807717558436,-0.00706747831441008,-0.0290839663656197
"avail_C1",0.789158908404917,0.644382679181704,-0.0845312891196978,-0.0859946709739899,1,-0.239834649077402,-0.0512669368169476,-0.381777498075452,-0.0139706815691068,0.0410504574976078,0.0654882662550656,-0.0241240638591512,-0.0560504252754192,0.000196614235834696,5.75501471943983e-05,7.12743234636939e-05,-0.000319513903681587,0.000416513434159054,0.000633733633448924,-0.000301778567423641,-0.000100184925398366,0.000441616422626448,0.000340270784526184,0.000145337806016048,-0.000213672752559802,0.000180922594779942,0.0162612517328766,-0.0308201529649218,0.00847791544238263,0.0195772106022474,-0.0568620410287373,0.0275026694492261,0.0118478744216284,-0.0402767548643809,-0.00344657308356132,0.00962816323248177,0.00143590435006107,-0.000510829738250961,0.0155142166331789,0.00919091624960369,0.0211397272860914,0.0104576030597436,0.0271573043576952,-0.00687069598539294,-0.0160455960755753,-0.00797517656685999,-0.0160664578508988,0.00861050355777342,0.0111831098519461
"somepriv_C1",0.203605752639112,-0.0841248062605229,-0.09246470371623,-0.0035736385715743,-0.239834649077402,1,0.704901847145652,0.0487677162805279,-0.19751989686469,0.00381096521564204,0.216703978699534,-0.335271557346952,-0.076312350906952,-0.00100232203759197,0.000114187913170456,0.000828315247248799,0.000211643042855701,-0.000102205588560704,0.000944058294373325,0.000849776236787056,-0.00310643140583923,-0.000941099911396379,0.000629958318076615,2.64527345032535e-06,-0.00103290567072282,0.000908484939742456,-0.00260925128611328,0.0097744705325963,-0.00730765887874014,-0.0104906470663402,-0.00229022965176563,-0.0551737183831827,-0.0311235521959166,-0.0350613352812152,0.0029264915179798,-0.010712393417896,-0.0163330182139376,0.0102310027732221,-0.0094821477979195,0.0120778452532667,0.0286075102696776,-0.010188921844346,-0.0266810683744912,0.00603030740483041,0.0128734425000262,-0.00981979651914923,-0.0196383525804244,0.00567418272355362,0.00219007613885582
"notpriv_C1",0.337551911067084,-0.0970210921462726,0.00410486805954282,0.178644760854915,-0.0512669368169476,0.704901847145652,1,0.0372691532277206,-0.403874490040045,-0.0868972678850209,0.182535406444455,-0.479938787826326,-0.160405535358675,-0.000674750716096182,0.000599103203756694,0.00110395678403375,0.000234323349563443,-0.00013238720691446,0.00156851069776211,0.0015219439397577,-0.00318102499181328,-0.00125415535783535,0.00117826025457132,-2.20462531441916e-06,-0.00159566339493219,0.00144788431155258,-0.00938924986422075,-0.00314148594644653,-0.0211557926127374,-0.0185533627334039,-0.00829438326473388,-0.0221338930009732,-0.0483134219994436,-0.0485493928542172,-0.00750373274873655,0.00339211922619386,0.00707235266024035,-0.00280882102074133,0.0022119467252674,0.0191378310175368,0.0478576779017497,-0.0058243368533114,-0.0169713816576625,-0.000762801665169743,-0.00417276535603498,-0.0155326966024328,-0.0338547931857349,-2.22785681570807e-05,-0.0125160682518891
"device_C1",-0.386357312665395,-0.7340484827165,0.108541650877898,0.0513809857141736,-0.381777498075452,0.0487677162805279,0.0372691532277206,1,-0.192868471818546,-0.209715162438957,0.0391872328796137,-0.201475496937873,-0.135542694255416,0.0032890207120701,-0.00106877743600699,-0.0042408528083942,-0.000194776135243146,-0.000192364841363605,-0.00632086081897598,-0.00347762471238855,0.0129929198394289,0.00384388389075558,-0.00468646481924694,-0.000237479029072136,0.00691534344375633,-0.00534287280622874,-0.0358042186245505,0.0641728471855355,0.0185512425031632,-0.0102971077522222,0.0640493930522401,-0.0117711209010773,0.030838258095949,0.25343325961213,-0.0138758082677502,0.0246410693027367,-0.00452288121767776,-0.0209716925945793,0.0120063116705082,-0.0550099525116569,-0.145483840659428,0.0173055816566371,0.0522839497819833,0.0209049553722658,0.0568409364159715,0.0271656628591639,0.049654126363856,-0.0354838596567417,-0.0130008229509661
"voucher_C1",-0.0136756057016154,0.152845227417541,-0.337249960387826,-0.412291687078053,-0.0139706815691068,-0.19751989686469,-0.403874490040045,-0.192868471818546,1,0.304373547744887,0.281421189957728,0.78051611687958,-0.0444492023102476,0.000972413680679492,-0.000435278833191587,-0.000862418789220014,-0.000849603218306428,7.43283216181268e-05,-0.000116158529886492,-0.00163064519503831,0.00302500402396625,0.00207703830932998,-0.000431321633716161,0.000500434102114211,0.00109883097177089,-0.00113292056730582,0.0138496952804938,-0.00748526617734852,0.0199499064485864,0.0233516227756223,-0.00882353691945467,0.0117277721069209,0.0118408911258432,-0.0045154103824945,-0.0458886797274743,-0.0120096070187206,-0.0336971177656493,-0.0121885554912499,0.0203020205826668,0.00778735064087284,0.011130419070142,-0.000262756668973417,0.00206792266891902,-0.00560032695147277,-0.0119479619180282,-0.0113124722052329,-0.0260487852105245,0.00773215896019472,0.0253623701301923
"cash_C1",0.152494899873292,0.2404939759808,-0.503737463391164,-0.485355819080925,0.0410504574976078,0.00381096521564204,-0.0868972678850209,-0.209715162438957,0.304373547744887,1,0.398826898916842,-0.0263283198636152,0.702613560964153,0.000794813104055733,-0.000499737754401822,-0.00033752349658751,-0.000465727519095214,0.000465495238499333,1.51510664897723e-05,-0.0013780578645662,0.00217876010409252,0.00140453355886137,-0.000111881175738807,4.10822320754676e-05,0.000536609892946501,-0.000614024848187879,0.0115775897935589,-0.026439674528522,0.0335126980257459,0.0480943921713435,-0.0222471428173944,-0.0135131409890474,-0.00177628010389335,-0.0190660401116773,-0.0109330178028639,-0.0576341325545785,-0.0490233023267288,0.0280531969074908,-0.0216872030222841,0.0142319439688215,0.0259705972801892,-0.0123686686309668,-0.0283322472872004,0.00452781905387659,0.0117863548674377,-0.0162631832732955,-0.0345124339851711,0.0117067300354434,0.0267599842384209
