"","neither_mu","permhc_mu","dist5_mu","dist15_mu","avail_mu","somepriv_mu","notpriv_mu","device_mu","voucher_mu","cash_mu","pricenone_mu","pricevoucher_mu","pricecash_mu","s0101","s0201","s0202","s0301","s0302","s0303","s0401","s0402","s0403","s0404","s0501","s0502","s0503","s0504","s0505","s0601","s0602","s0603","s0604","s0605","s0606","s0701","s0702","s0703","s0704","s0705","s0706","s0707","s0801","s0802","s0803","s0804","s0805","s0806","s0807","s0808","s0901","s0902","s0903","s0904","s0905","s0906","s0907","s0908","s0909","s1001","s1002","s1003","s1004","s1005","s1006","s1007","s1008","s1009","s1010","s1101","s1102","s1103","s1104","s1105","s1106","s1107","s1108","s1109","s1110","s1111","s1201","s1202","s1203","s1204","s1205","s1206","s1207","s1208","s1209","s1210","s1211","s1212","s1301","s1302","s1303","s1304","s1305","s1306","s1307","s1308","s1309","s1310","s1311","s1312","s1313"
"neither_mu",0.18131109626396,0.0260951861891706,0.0175947334652693,0.00967529584451204,0.0100849313706171,0.0124847925103274,0.0145588223347793,0.000546231655077416,0.0196659874409435,0.009767225353797,0.00671330248812442,-0.00235963480517581,-0.00282666951424585,0.0238897639484859,0.00988745714969617,-0.00332879780306344,-0.0167699799476694,-0.000190233034755168,-0.00424161454348329,-0.0164567300501044,0.00893697428674251,-0.0218109174574754,-0.000177565912416302,-0.00158417434014749,0.00340032018663046,-0.00510992070895572,-0.00038023556523624,-0.00202825415086257,0.00254087491114353,-0.00387172089114203,0.00418747031313353,-0.00856350624234056,-0.0120740311756267,0.0154376406553353,-0.0108053164308468,-0.00293513266058288,0.00415024097341727,-0.00135607889719585,-0.00527005010099701,0.0238193868673281,-0.00173009644394886,0.00605168699531012,-0.00865792036388026,0.00412112201133,0.000542869871442755,0.0120600350076951,0.00349256718593348,-0.000113391774365635,0.000327026011552543,-0.0224995673239766,0.0209788020393901,-0.0223024440393768,0.0377488936775661,-0.00816990665539885,0.00249023885387871,-0.014429826774154,0.00867682144531596,-0.019476750666905,-0.0331579160219365,-0.00816529641060856,0.000884810967079801,0.0423989732036775,-0.00985574747722526,0.00631407490678968,0.0167904064182684,0.00342373009559722,0.0110463674313673,0.0258901957794722,9.04407574631189e-05,0.000232085748078113,-0.000843766880808287,0.00191261654012626,-0.00100041075905652,-0.00141262262394267,0.00344400459244687,-0.00077374343178014,-0.00264973606739697,0.0018817516021049,0.000571848002339781,-0.00239495554544235,0.00324856252639868,-0.00321816958021984,0.00132415055867487,-0.000234470620105813,0.000782703115465888,-0.00376799888644431,0.0009015689516177,-0.00133776663714261,-0.00153241664013825,-0.000136195625976487,-0.000866954201441195,-0.00292947270409501,-0.000470245862680468,-0.000677943558227342,0.00135081444226784,-0.00111692019079574,0.00149815154791563,0.000628993050704825,0.000188350672183422,0.00286368219915586,0.00277808211731245,-9.41101270985111e-05,0.000394676028361839,-0.00066770413306468
"permhc_mu",0.0260951861891706,0.144297772195543,-0.0674698179102119,-0.0735616283499196,0.0110173482898737,-0.00692507588700893,-0.00614693575620477,-0.0712691386593545,0.0232160862418884,0.08829077642222,0.000205299446010684,-0.00267856857659644,0.000210384761978506,-0.0886686408781656,-0.111089920062782,-0.0604032596733261,0.0603343907307443,0.00209315942932738,0.0117805199588568,0.0594069996000508,0.0035941911064646,0.00675992800397588,-0.0107557603585799,-0.0070578704795317,0.00221271687326199,0.00953628620346422,-0.00602755354272808,-0.00623452174269237,0.00376774996159534,0.00288567133954482,0.00254958527096593,0.0123931741314987,0.0339295256096353,0.0339804031467705,-0.00177393105411434,0.00307022473099142,0.00923355349679001,-0.00610272093059805,0.0409697229930446,0.002252404692153,0.00856969309447014,0.050144720359426,0.0115646410012815,0.0339319842925693,0.137265143508745,-0.019227018591954,-0.0357434589683196,-0.0238880290859545,-0.0511827883053988,-0.0359651973389419,0.0295931472434777,0.00581676460183406,-0.0743953680784817,0.0209017847996689,-0.0489002411707871,0.0659800498470955,-0.00146279211010786,0.0526079535803325,-0.0522034798208399,0.0191458410414511,-0.0258838298801028,-0.0870064045656027,0.0361394574583743,-0.0226955772237469,-0.0214292049987033,0.047424795825987,0.00944493138230727,-0.0630833163200001,0.000112493725948973,0.00216878805203293,-0.00427959240270823,-0.0114494791721214,0.00477709067132267,0.00147457286088141,-0.00810828280425957,0.0065917642230991,0.00600946918697998,-0.00252371436492288,-0.00621324636063016,-0.00143665603144489,-0.0020308887756496,0.00451378241822405,-0.00192660626731909,0.000453953469469147,-0.00502705125028506,0.00865410221593949,-0.00156741662873814,0.00359521514894031,0.00365123755602747,0.000821654447035128,-0.00366450601643702,-0.00118592469305705,-0.00244120088463089,0.00113637453753249,0.00165802266655181,0.00215115859055583,-0.000225799083197216,1.83547088016303e-05,0.00293127238295378,-0.00208313958490942,-0.00446962741033346,-0.00329738989828783,-0.00224003614314382,0.00120107961617293
"dist5_mu",0.0175947334652693,-0.0674698179102119,0.094361706078724,0.081973332219267,-0.00157173099667722,-0.00112308195844145,0.0019296612044339,0.0237008909888151,-0.0155508061144312,-0.0670223355975947,-0.00432299859202205,0.00219353216723897,-0.00215207733483401,0.0238971883427367,0.0428868745827463,0.0131582442475185,-0.0241469378659329,-0.00256522167160477,-0.0118652042198226,-0.0282785101116033,-0.00480431121471727,-0.0195758399136131,0.00534384476601363,0.00248554406534908,-0.000716804229544274,-0.00402788083529046,0.000125018099546363,0.001120735302572,-0.00502606999312955,-0.00140114474858439,0.000215383178665366,-0.00597220489641094,-0.0114995762389876,-0.0060557756382721,-0.00453596963044522,-0.00240417465385734,0.00209024282113278,0.00528723445882498,-0.0129008943634076,0.00730863056071645,-0.00195616083008244,-0.0146668865639346,-0.00458486364110183,-0.00435681434475868,-0.0422041758700473,0.0140038022986207,0.00710356461925877,0.00699129767815586,0.0112983470886585,0.0116122981998038,0.00291530637487787,0.00966663843395182,0.0349976195299234,-0.014869903794258,0.0130154613458772,-0.0287089538688467,0.000231709111973005,-0.00909465792120421,0.0102112179965045,-0.00902010087760346,0.0219004593563354,0.0617462187469754,-0.0196421635753435,0.0100910477285645,0.00928302582392787,-0.0183226459476576,0.000246290659442626,0.0248529669785316,-0.000864485357683629,-0.000363529904432134,0.00267056329486283,0.00421129377481195,-0.00173712938620506,-0.000480340510061495,0.0023929493182641,-0.00152229496392777,-0.00177278205361448,0.00151244184907545,0.00180788316170461,0.00110803603713116,0.00164920335263513,-0.00139640319508004,0.00173429864754685,-0.00104906996567127,0.00121123201464996,-0.00367538888675853,0.000179236593731779,-0.00061354983010589,-0.00205431341954681,-0.00047060307051937,0.000425287134734212,-0.000327473498376856,-0.00022802391401158,-0.000549555891447335,0.00222066500891418,-0.00173377465888635,0.000913818346297421,0.000586572390892747,-0.00125200590641432,0.000943703835326978,0.0018197039965404,0.000843680509851838,0.000379081453143306,-0.000719870212626486
"dist15_mu",0.00967529584451204,-0.0735616283499196,0.081973332219267,0.100390399089365,-0.00200179028778491,-0.00287006511370771,8.10859869926658e-05,0.0222194670653486,-0.0277782170754202,-0.07206062169343,-0.00382926226094814,0.00265095930236799,-0.000983332628526352,0.0269539693437459,0.0592180445104252,0.0221662378828046,-0.0424002049638948,-0.00812234496861852,-0.0149286290770554,-0.0487158191926662,-0.0121093129722664,-0.0294117523680249,-0.0162522768771932,0.00289537802806907,-0.00128455110221864,-0.00505267044803643,-0.000962534332248239,0.00134228253600479,-0.00405992472673033,-0.00366316436278158,0.00301600335406418,-0.00494074380721367,-0.0096350859154831,-0.0093902633070917,-0.00345803352682161,-0.0052901632093308,0.00319888978927663,0.00416600579675268,-0.011741015742893,0.00381360360686226,-0.00085720692688875,-0.0182502516599281,-0.00400807915194726,-0.00465000188850227,-0.0483714892975446,0.00963986604471999,0.0081434158544802,0.0093025767740134,0.0118913976180345,0.0163675979646669,-0.00646919075466673,0.00784442274824906,0.05948414205154,-0.0193931577086731,0.021198649527675,-0.0406234396362732,-0.00256158906806899,-0.0159573358874403,0.0277388196415029,-0.00714193203593665,0.0282518131460289,0.0705482749891526,-0.0138946270863826,0.0075424167621854,0.0117032540991704,-0.0201299265604893,0.00116158283182416,0.0288877117909731,-0.000247209053246555,-0.000645889178080608,0.00243789529015644,0.00585936782508295,-0.00251051627085749,0.000529030002595554,0.0029313017676826,-0.00218117419642714,-0.00249933406095229,0.00154436540198024,0.00162353736176737,0.00126819175130131,0.000970167870514794,-0.00213186864563289,0.00187337001169084,-0.000873550779580252,0.00147262283067993,-0.00493399853798974,3.06799942566938e-05,-0.00135054634877806,-0.00243233956066536,-0.00059468720687786,0.000457717748454238,0.00129409781665176,0.000265004257066568,-0.000362982193810969,0.000808968326671173,-0.000141812869246516,0.000199374346118843,0.000606067349809722,-0.00103538133873382,0.00115049375069353,0.00177833814387167,0.00109029580607019,0.000702323354162112,-0.000455948207420247
"avail_mu",0.0100849313706171,0.0110173482898737,-0.00157173099667722,-0.00200179028778491,0.00357101116705878,-0.00441025871473628,-0.00298743317421301,-0.00854472614946396,0.00578610068253426,0.00229273169888475,-0.000143019528781129,-3.15277268696915e-05,-0.00092349179412823,-0.0115069645933129,-0.0113349147586001,-0.00755697480164941,0.0058491496081951,9.93380136254804e-05,0.000290531960130835,0.00459132610981294,0.0017410255182858,-0.00316840964267198,-0.00195077315287613,-0.00134693729004283,0.000479412026266057,0.000276486971761133,-0.00193760786627096,-0.000273578348647868,0.00189741279090586,0.0010651065138463,0.00166857035946516,0.00433323967133583,0.00202434041968812,0.0032050924637444,-0.00092514932422655,0.000113408875668938,0.00295070366671347,0.00177510944880068,0.00436619159535985,0.00176202906022892,0.000472496322240402,0.00574211203488288,0.000453590477876117,0.00555324742497302,0.0161296197752777,-0.00220571901283298,-0.00376478496653688,-0.00238891057617899,-0.00582079790404939,-0.00503496138063388,0.00399731629714953,0.00225670793895117,-0.00401470902866227,0.00194870161476462,-0.00402283539470593,0.00390657652149311,0.000441599169008627,0.00579522904335865,-0.0105963381293321,0.000422283413689745,-0.00145829585660095,-0.00315742154968509,0.00106084267822255,-0.00378452012467677,0.000348170223351405,0.00488404282808669,0.00133841087727425,-0.00642150136972838,-0.000270110243286993,0.000135220837862361,-0.000289237683333038,-0.00102425270682889,0.00021481177468438,0.00032766266430676,-0.000994706813338955,0.000798121252500312,0.000684065674742552,-0.000267437318445566,-0.000830683767142739,-0.000240158714564053,-1.23960242982666e-05,0.00029521310668011,6.74052140955208e-05,5.60376579350433e-05,-0.00037083731663141,0.000546684861141706,-8.94920193303972e-05,0.000351840087077861,0.000265307196523847,0.000128860810009627,-0.0005658856445064,-0.000617107874261596,-0.000412515444837034,-3.91968873631194e-05,0.000632195900178489,-0.000162391950558668,-0.000210273733637001,0.000397471528466836,0.000141122025927074,-0.000273708987771226,-0.000417614663213494,-0.000475346348469609,-0.000337529219698702,6.34368549397773e-06
"somepriv_mu",0.0124847925103274,-0.00692507588700893,-0.00112308195844145,-0.00287006511370771,-0.00441025871473628,0.0379860325329897,0.0237382556929883,0.0111869684437704,-0.0150424977240242,-0.00525113662041451,0.00219477140517021,-0.00164510887453765,-0.000127375429381913,0.0140935644262009,0.0183920491895305,0.00784561745224186,-0.0117666175572262,0.00289835479031495,-0.00208788436460789,-0.0100664915090903,-0.000536779006449047,0.00330453829924517,0.00300375113101004,0.00262405127077485,4.06235246385593e-05,0.000127809608385453,0.00338581842365563,-0.000338256660301671,-0.00956092549054192,-0.00642721372028474,-0.00771822289065837,-0.0212936368919777,0.00339443775932377,0.000982853697012043,-0.00380719141061402,-0.00219383886251044,-0.00706672943755291,-0.0155000435821108,-0.00226627551187525,-0.00143767652594602,0.00234705280291692,-0.00478545325023028,-0.00130787806325447,-0.00832207450111201,-0.0177269565495335,0.00220097400589666,0.00411592672867221,0.0017828400371281,0.00665798577552336,0.00722208669570241,9.52664485048535e-05,0.000470998387158288,0.0164070490991176,-0.00101050375502421,0.00422683416219596,-0.00594292534482502,-0.000221175825979187,-0.00702478953175528,0.0241545361950051,-0.00403005964485079,0.00300642633872919,0.00980923575242036,-0.000427821769250832,0.00296239845419344,-0.00258643261481242,-0.00388172251722554,-0.00069996805254861,0.00595155445932931,0.000765463041269267,-0.000297023483928666,0.000457254738569121,0.000974013598088603,0.000696470048261612,-0.000955787723411441,0.00109450736821279,-0.00108531727571924,-0.00122926578457008,-5.747466575469e-06,0.00106468038041361,0.000308248828401424,0.000471391448881766,-3.12124828310429e-05,0.000529441238120473,8.28729244099446e-05,0.000736116572359584,-0.000785024579495274,0.000273782532621216,-0.000374348101361967,-0.000220259214250684,-0.000452111236278579,0.000788141818372155,0.00226084726992834,4.03920771469051e-05,8.90316546637917e-05,-0.000282951095857484,0.000217074704494199,0.000680863988237466,-0.000756270420300213,0.000178822982109778,0.000456823420473658,0.000470296412162642,0.000108875956338547,0.00042711579696696,-0.000111891360653513
"notpriv_mu",0.0145588223347793,-0.00614693575620477,0.0019296612044339,8.10859869926658e-05,-0.00298743317421301,0.0237382556929883,0.0351914245464375,0.00933928647869987,-0.0130487492998702,0.00429194688193241,0.00203643573853581,-0.00154296072319389,0.000485200977856064,0.0056331291793293,0.013502458777853,0.0133002478010668,-0.00981038913637695,-0.0033939265518924,-0.000162250113977698,-0.0105259098662406,-0.00789555485465501,0.00632270471579327,-0.00216656458432579,0.000362601400816566,-0.000343772142986126,0.00115009383691618,0.00167509344652706,0.000179132375746829,-0.00490532104132964,-0.00272526788452007,-0.00836741286310977,-0.0130160035599155,0.00237402882891272,-0.00256577835933853,-0.00258639144138606,-0.00100112423086585,-0.0129817134294582,-0.022777407917411,0.00296648140573817,-0.00801987003569276,0.00568899244464937,-0.00252884656301986,-0.0005254471637831,-0.0117999060591644,-0.0109749469127271,-0.000257288501131474,0.00237178777487956,0.00273955081295951,0.00446000022853267,0.0102552580291445,-0.0083009431320785,0.00263711147656223,0.0252641951051201,-0.00586240503238554,0.00382803223570247,-0.00644589954626536,-0.012704114276413,-0.00713193553894418,0.0326160425691248,0.00373880932968033,0.000578101252556693,-0.00103830419465437,0.00851912487733304,-0.00152036305499297,0.00093222054129799,-0.00460124949804576,-0.00328251665208582,0.00212987783960144,0.000961636873272726,-0.000345381825080809,0.000750359164426372,0.00105389418285539,0.000204439110296083,-0.000181086928199197,0.000625196771307904,-0.00122843129245591,-0.00116065505389467,-0.000344061122232541,0.00096576392001537,0.000436999910922509,-0.000492333292736031,0.00067961245811341,0.00122032295651797,-0.000357922671900108,0.000292158111430731,-0.000597168029903306,-0.000941155315480092,-0.000445827464079663,-2.22656508821726e-05,-0.000307297333804074,0.000994509836792338,0.00290841975652951,0.000956239544054248,8.24206905445315e-05,-0.00115243096430902,0.00138668476140505,-0.000113523531561082,-0.000295560513819738,0.000205022944537558,6.65261977599864e-06,-1.20374292100457e-05,-5.57461417021121e-05,0.000458464025986015,2.333358229902e-05
"device_mu",0.000546231655077416,-0.0712691386593545,0.0237008909888151,0.0222194670653486,-0.00854472614946396,0.0111869684437704,0.00933928647869987,0.0944405496161641,-0.0323565896481044,-0.0517202495488454,-0.000322062581993755,0.000966465548022888,0.00323568713959858,0.0723920343787424,0.083017504362891,0.0574163719211426,-0.045597232578329,-0.00515520137411626,0.000750983981729583,-0.0428566063615694,-0.00693184196129461,0.0173578556617104,0.0110712229976169,0.00534864088798627,-0.00303839381083748,-0.00613962035537441,0.00625479098010279,0.00445506332207319,0.00345573122971688,-0.00214381890547249,-0.0116931270173866,-0.0150090507076939,-0.0248299499423192,-0.0293849883946545,0.0112652589294554,0.00223999472869322,-0.0163767874513572,-0.000727029198918204,-0.034695418139946,-0.00688438609636991,-0.00497791316629104,-0.0473340275135872,-0.0115330301048382,-0.0457116873207941,-0.134678269008833,0.0191459373096966,0.0351553634536505,0.0204146408707644,0.0447088724228197,0.0390124855100981,-0.0302123874040496,-0.00799969945597844,0.0610200357858659,-0.0112090014516572,0.032629862252636,-0.049217100551682,0.000457655763976438,-0.0487115679150152,0.0654116567602673,-0.00865318070542032,-0.0028913858320729,0.053000123935846,-0.0118687735064971,0.0142890863176999,0.0119020096671,-0.0353351668138843,-0.0184504921780661,0.0399893753106373,0.00128641304105381,-0.000746229678087607,0.00229682909882255,0.0105914842510627,-0.0025623379452139,-0.00284481847656508,0.00683437289989247,-0.00583114922217317,-0.00669185020332648,0.00225824756663291,0.00579988151810797,0.00131923682987243,0.000606824580617006,-0.00189437385217273,0.000850852739679738,8.99775155905173e-05,0.00345508925176962,-0.00601312912607586,0.0010516324152905,-0.00276284957390466,-0.00221119876388948,-0.000403673441143329,0.00447133711684817,0.0027627254551267,0.00258913068718057,-0.00226032548451158,-0.00415614568064237,0.000650394419424035,-0.000205328718696464,-0.000755708773984886,-0.00191339287041188,0.00135217694868599,0.00246408419234114,0.0036563350190177,0.00262284178705504,-0.00077345539826064
"voucher_mu",0.0196659874409435,0.0232160862418884,-0.0155508061144312,-0.0277782170754202,0.00578610068253426,-0.0150424977240242,-0.0130487492998702,-0.0323565896481044,0.174998665293647,0.00170364687097272,0.00278508423182816,0.0138809467060053,-0.00902308696602304,-0.0275788328185774,-0.0516174454618158,-0.0239841090329966,0.0455835968701499,-0.00204840575329322,0.00406524069569428,0.0432216823053841,0.00186191740935515,0.00154351144635259,0.0143248227043845,-0.00234346857925578,0.00150937331746317,0.00292183887790403,-0.00166806716345564,-0.000672021936581136,0.00334389703768397,0.00537002771385735,0.00872528199389361,0.012911299801776,0.00443999554286573,0.00971244300727993,-0.00116605320699017,-0.000662106363411537,0.0117603555220296,0.00682603303414609,0.0100114806579181,0.00105156131252215,-0.000493529709212385,0.0216022701451531,0.00520480448504852,0.0228299220437218,0.0629455075405302,-0.00985290111358543,-0.0127177400959025,-0.0118747529363893,-0.0179152228248006,-0.0192668919514882,-0.0152792250086205,-0.0306912956277234,-0.121693530523344,0.0489080769468129,0.00244658707614972,0.0362264094185746,0.000295128652317706,0.0205956263174688,-0.0629257482400661,7.20426466667045e-05,-0.00482854377922696,-0.0339086814112865,-0.00882475956702032,-0.0166776266076758,0.0168888221527234,0.010578467285368,-0.00178300983153714,-0.00639215794736663,-0.00235969004207001,0.000354007199860961,-0.00167995445191392,-0.00642804541973052,0.00154618758773658,0.000893978701184161,-0.00110358855379203,0.00206546502410274,0.00347160115522928,-0.000980300417156967,-0.00237795029608753,7.56105987245783e-05,-0.00396698868168355,-0.00246802526479878,-0.00932319453587428,0.00517991015906893,0.000985673548515227,0.00318247556560872,0.000211079563972219,0.000942334562228489,0.00141083701956419,-0.000689925582374488,-0.0007962926315173,-0.00467433494294708,-0.00150811187305044,0.00131885304614359,0.00305122050474989,-0.0026733684558428,-0.00137855263150645,0.00250343553159295,0.000386262227700078,-0.00193814815701761,0.00029347489620295,-0.00229865808731317,-0.00138712236113134,0.000179925489478722
"cash_mu",0.009767225353797,0.08829077642222,-0.0670223355975947,-0.07206062169343,0.00229273169888475,-0.00525113662041451,0.00429194688193241,-0.0517202495488454,0.00170364687097272,0.262967847559778,0.00904361652634061,-0.0101601647887676,0.0164248683997211,-0.0745113205224975,-0.0960669405187977,-0.0345070704043992,0.0602655881672344,-0.00208021342503549,0.0227654810162226,0.0569324184088386,0.000474239379662726,0.0342327740778531,-0.00398663287028511,-0.0087905325707564,0.00157294711933358,0.00939987586681627,-0.00166640677247136,-0.00523368773075474,0.0118416343560884,0.00473441832732401,-0.00183859743483003,0.0147388188601632,0.0232483545147197,0.0185740914664005,0.0157594131840903,0.00355074040396208,-0.00317369721708574,-0.0111994521611069,0.0314300717699663,-0.00732425196992623,0.00875011932683468,0.0354863034219882,0.0106327330387607,0.0147986380031638,0.109918849001389,-0.0233379854615624,-0.0254966207957323,-0.0194121575450765,-0.0340727522566713,-0.0376798416777324,0.0126708519724332,-0.0126110562117011,-0.0620968660176564,0.0148994189686622,-0.035818005692304,0.068514063592155,-0.0167386343460881,0.0134277803464581,-0.0317432451700478,0.0310352777564541,-0.040677751399248,-0.193917785897858,0.0772976652586855,-0.0074149105253425,-0.0365185345102555,0.0431109929323785,0.0117924291230291,-0.0674965311045486,-0.00094924317353146,0.0015616807707841,-0.0038066782238375,-0.0119074732040538,0.00593027426448738,0.00101042119193398,-0.00682433028890753,0.00499889874868759,0.00485897961387743,-0.00370935967634967,-0.00347492485319293,-0.00238874362072921,-0.0022194224379785,0.00362835147910332,0.000361099703801243,-0.0022788172666273,-0.00409273580619151,0.00917365626384761,-0.00256570552992626,0.000365734399843747,0.00427647785797472,0.000736723501607932,-0.00103034547752124,-0.000173762512402287,0.000718214787065016,0.000492588967486703,-0.010246210431166,0.00632464161233558,-0.000282183909037719,-0.0019348741951002,0.00389932462918279,-0.00131161485802912,-0.00572683724784233,-0.00219141326741216,-0.00118253198369366,0.00145264490125528
