"","neither","permhc","dist5","dist15","avail","somepriv","notpriv","device","voucher","cash","pricenone","pricevoucher","pricecash"
"neither",0.0164097160603856,0.000647174691219539,0.00399385969035511,0.00242717095014218,0.000809502558219626,0.00131051229584461,0.00141601467666172,0.00130904382296485,0.00258153778676928,0.000231917923104717,0.000753058504784283,-0.000323292965207987,-0.000561801314811578
"permhc",0.000647174691219539,0.0057595858311224,-0.00512938487838293,-0.0047877033310045,0.000310173118458322,9.33977068962782e-05,-0.000228207588486174,-0.000882287208672724,-0.000784017077314845,0.00267089192214497,3.21927011791415e-05,-7.71702537006042e-05,0.000296191012523001
"dist5",0.00399385969035511,-0.00512938487838293,0.0108553494617638,0.00849929405039367,-6.0754302172919e-05,-0.000278707817176913,0.000371913517492486,0.000871156838163343,0.000468467767969394,-0.00359711170465679,-0.000314472699698026,0.000187667327807207,-0.000310132042813241
"dist15",0.00242717095014218,-0.0047877033310045,0.00849929405039367,0.00871073547855114,-3.57515456178905e-05,-0.000314454953493287,0.000117168165010218,0.000333559413416963,5.77068421943848e-05,-0.00302776613737728,-0.00027910255604477,0.000237599966139923,-0.000182610132668772
"avail",0.000809502558219626,0.000310173118458322,-6.0754302172919e-05,-3.57515456178905e-05,0.000160483179723843,-7.23650479943347e-05,-4.36916775201829e-05,3.94012698873595e-05,0.000233654506734437,-0.000253697170910329,5.9882281740804e-06,1.34923183513196e-05,-4.29464993930631e-05
"somepriv",0.00131051229584461,9.33977068962782e-05,-0.000278707817176913,-0.000314454953493287,-7.23650479943347e-05,0.00229772985336567,0.00116495430669241,7.99581663750162e-05,-0.00098262140312149,0.000527205675386042,0.000140580129951965,-0.000191489959905325,-2.56731678857456e-06
"notpriv",0.00141601467666172,-0.000228207588486174,0.000371913517492486,0.000117168165010218,-4.36916775201829e-05,0.00116495430669241,0.00221916811303638,0.000191070271468987,-0.000941536608113295,0.000500011722846567,5.2873061196148e-05,-0.000160767622915917,2.3778237799982e-05
"device",0.00130904382296485,-0.000882287208672724,0.000871156838163343,0.000333559413416963,3.94012698873595e-05,7.99581663750162e-05,0.000191070271468987,0.00160620347628672,0.000312809351040474,-0.0010236869502545,1.39300766437887e-05,-8.7272349865214e-05,-0.000174705358048847
"voucher",0.00258153778676928,-0.000784017077314845,0.000468467767969394,5.77068421943848e-05,0.000233654506734437,-0.00098262140312149,-0.000941536608113295,0.000312809351040474,0.0147342231996188,-0.00499150824102222,0.000315531978375757,0.00137739681579207,-0.000944968007938517
"cash",0.000231917923104717,0.00267089192214497,-0.00359711170465679,-0.00302776613737728,-0.000253697170910329,0.000527205675386042,0.000500011722846567,-0.0010236869502545,-0.00499150824102222,0.0165275778351781,0.000395262677619088,-0.000852367405394811,0.00165592168367832
"pricenone",0.000753058504784283,3.21927011791415e-05,-0.000314472699698026,-0.00027910255604477,5.9882281740804e-06,0.000140580129951965,5.2873061196148e-05,1.39300766437887e-05,0.000315531978375757,0.000395262677619088,0.000237079172152472,-7.8806610785632e-05,-6.229739672847e-05
"pricevoucher",-0.000323292965207987,-7.71702537006042e-05,0.000187667327807207,0.000237599966139923,1.34923183513196e-05,-0.000191489959905325,-0.000160767622915917,-8.7272349865214e-05,0.00137739681579207,-0.000852367405394811,-7.8806610785632e-05,0.000220124396479747,-6.66326755808597e-05
"pricecash",-0.000561801314811578,0.000296191012523001,-0.000310132042813241,-0.000182610132668772,-4.29464993930631e-05,-2.56731678857456e-06,2.3778237799982e-05,-0.000174705358048847,-0.000944968007938517,0.00165592168367832,-6.229739672847e-05,-6.66326755808597e-05,0.000246087718741106
