"","neither","permhc","dist5","dist15","avail","somepriv","notpriv","device","voucher","cash","pricenone","pricevoucher","pricecash"
"neither",0.0217191047923448,0.00476769568375469,0.000404993703922546,-0.000790197542781359,0.000684131830249986,0.00121514184089352,0.00104647490339666,0.000181158551463986,0.00394552567508011,0.00320506671271994,0.00087748074087701,-0.000200213205724987,-0.000251197710416583
"permhc",0.00476769568375468,0.00689607235678853,-0.00439844682528453,-0.00434026984698535,0.000356105644510002,0.000301152281708188,-0.000141400493648454,-0.0026588832274638,0.000254039974494184,0.00304380490718568,3.11743480518277e-05,-5.44510230057863e-05,0.000195114467043578
"dist5",0.000404993703922553,-0.00439844682528454,0.00731363400390153,0.00629670732220682,-3.21719099603274e-05,-0.000459744382031026,0.000244417185132104,0.0014383891241019,0.000222649377884355,-0.00397022404876995,-0.000236358389815375,0.000275357581786936,-0.000186505054461357
"dist15",-0.000790197542781344,-0.00434026984698535,0.00629670732220681,0.00677879599503565,-8.89158456316422e-05,-0.000728829669387221,-0.000226082824328222,0.0012845379730416,-0.000591065222457112,-0.00416470202793559,-0.000347906829759271,0.000293100485529843,-0.000152884352248542
"avail",0.000684131830249985,0.000356105644510001,-3.21719099603257e-05,-8.89158456316414e-05,0.000145181105308232,-6.41246455804741e-05,-5.98712239878819e-05,-0.000184683496677057,0.000310810604998931,-0.000120622487242817,-5.13084956269673e-06,3.84857349014958e-05,-1.63160129326708e-05
"somepriv",0.00121514184089352,0.000301152281708188,-0.000459744382031025,-0.000728829669387221,-6.41246455804741e-05,0.0020325063113941,0.00116687311830086,0.000252572065975757,-0.000837538863912826,0.00087193746236881,0.0002521464899373,-0.000210293016917704,5.25532145531143e-05
"notpriv",0.00104647490339666,-0.000141400493648452,0.000244417185132102,-0.000226082824328223,-5.98712239878818e-05,0.00116687311830086,0.00180975708679268,0.000344946158101928,-9.8241715818695e-05,0.000818754362309145,0.000182913713194594,-0.000132126807432421,4.83822917015212e-05
"device",0.000181158551463986,-0.0026588832274638,0.0014383891241019,0.0012845379730416,-0.000184683496677057,0.000252572065975756,0.000344946158101927,0.00646650360788972,-0.000846186186159722,-0.00114410213736581,-2.74544362146209e-05,-0.000102463037135813,-6.12126538511715e-05
"voucher",0.00394552567508012,0.000254039974494176,0.000222649377884365,-0.000591065222457103,0.000310810604998932,-0.00083753886391282,-9.82417158186994e-05,-0.000846186186159731,0.00833517957003479,-0.00084323207099129,0.000373168564851797,0.000583192427026011,-0.000527570877699816
"cash",0.00320506671271993,0.00304380490718569,-0.00397022404876995,-0.0041647020279356,-0.000120622487242816,0.000871937462368807,0.000818754362309147,-0.00114410213736581,-0.000843232070991253,0.0130918519331799,0.000776585293969345,-0.000711366451922142,0.00097597853702182
"pricenone",0.000877480740877009,3.11743480518277e-05,-0.000236358389815374,-0.000347906829759272,-5.13084956269667e-06,0.000252146489937299,0.000182913713194594,-2.74544362146212e-05,0.000373168564851797,0.000776585293969345,0.000313221828620327,-0.000128250410839727,-5.9918017377544e-05
"pricevoucher",-0.000200213205724983,-5.44510230057868e-05,0.000275357581786935,0.000293100485529842,3.84857349014959e-05,-0.000210293016917702,-0.000132126807432421,-0.000102463037135813,0.000583192427026008,-0.000711366451922143,-0.000128250410839727,0.000161253011432564,-1.18544252459074e-05
"pricecash",-0.000251197710416582,0.000195114467043578,-0.000186505054461357,-0.000152884352248541,-1.63160129326706e-05,5.2553214553114e-05,4.83822917015213e-05,-6.12126538511709e-05,-0.000527570877699809,0.000975978537021817,-5.99180173775439e-05,-1.18544252459069e-05,0.000180372371050187
