"","neither","permhc","dist5","dist15","avail","somepriv","notpriv","device","voucher","cash","pricenone","pricevoucher","pricecash"
"neither",1,0.0665695106704685,0.299240495833718,0.203012331803888,0.498830422272684,0.213422932713569,0.234650843539565,0.254978388341092,0.166021499047227,0.0140824810123442,0.381796096111002,-0.170102866489453,-0.279567863724786
"permhc",0.0665695106704685,1,-0.648705761707499,-0.6759338430279,0.322621843733524,0.0256738561058534,-0.0638321323705643,-0.290077520689871,-0.085107194193728,0.273751231601773,0.0275495868318722,-0.0685362300344935,0.24878905980562
"dist5",0.299240495833718,-0.648705761707499,1,0.874044486210653,-0.0460299361055495,-0.0558055974441681,0.0757748276367559,0.208628754175974,0.0370419796401891,-0.268551396133594,-0.196026300352982,0.121403910662582,-0.189749117671624
"dist15",0.203012331803888,-0.6759338430279,0.874044486210653,1,-0.0302379711915936,-0.0702880579800808,0.0266493802647729,0.0891754907211119,0.00509373414990964,-0.252342446419115,-0.194218099461389,0.171587194118428,-0.124724706038301
"avail",0.498830422272684,0.322621843733524,-0.0460299361055495,-0.0302379711915936,1,-0.119169361031425,-0.0732131103350506,0.077605978322727,0.151948276924864,-0.155774461414363,0.030699894207582,0.0717856654078323,-0.216106604356011
"somepriv",0.213422932713569,0.0256738561058534,-0.0558055974441681,-0.0702880579800808,-0.119169361031425,1,0.515898548641026,0.0416210528527037,-0.168878014336321,0.0855511767910056,0.190470514962481,-0.269254168518424,-0.00341416894105036
"notpriv",0.234650843539565,-0.0638321323705643,0.0757748276367559,0.0266493802647729,-0.0732131103350506,0.515898548641026,1,0.101204014030722,-0.16465635100152,0.0825620521684567,0.0728941460773171,-0.230022012873371,0.0321765586920805
"device",0.254978388341092,-0.290077520689871,0.208628754175974,0.0891754907211119,0.077605978322727,0.0416210528527037,0.101204014030722,1,0.0643007182801689,-0.198683719050799,0.0225738962216307,-0.14677169167806,-0.277882356847385
"voucher",0.166021499047227,-0.085107194193728,0.0370419796401891,0.00509373414990964,0.151948276924864,-0.168878014336321,-0.16465635100152,0.0643007182801689,1,-0.319862674847204,0.168823561234351,0.764823746019069,-0.496259133907006
"cash",0.0140824810123442,0.273751231601773,-0.268551396133594,-0.252342446419115,-0.155774461414363,0.0855511767910056,0.0825620521684567,-0.198683719050799,-0.319862674847204,1,0.199679969542009,-0.446877140329447,0.821088968598372
"pricenone",0.381796096111002,0.0275495868318722,-0.196026300352982,-0.194218099461389,0.030699894207582,0.190470514962481,0.0728941460773171,0.0225738962216307,0.168823561234351,0.199679969542009,1,-0.344970422152647,-0.257915966080583
"pricevoucher",-0.170102866489453,-0.0685362300344935,0.121403910662582,0.171587194118428,0.0717856654078323,-0.269254168518424,-0.230022012873371,-0.14677169167806,0.764823746019069,-0.446877140329447,-0.344970422152647,1,-0.286291327985825
"pricecash",-0.279567863724786,0.24878905980562,-0.189749117671624,-0.124724706038301,-0.216106604356011,-0.00341416894105036,0.0321765586920805,-0.277882356847385,-0.496259133907006,0.821088968598372,-0.257915966080583,-0.286291327985825,1
