"","neither","permhc","dist5","dist15","avail","somepriv","notpriv","device","voucher","cash","pricenone","pricevoucher","pricecash"
"neither",1,0.389571037467219,0.032133697405235,-0.0651236048369161,0.385268753206325,0.182890043562106,0.166915902193195,0.0152863259902779,0.293242175786759,0.190070873630383,0.336426829305605,-0.106983756244214,-0.126914051717565
"permhc",0.389571037467218,1,-0.619343850132638,-0.634803839364014,0.355895833328571,0.0804394887596292,-0.0400257868088873,-0.398165473114974,0.033507627234599,0.320343093820536,0.0212114552301103,-0.0516358370663679,0.174945815861852
"dist5",0.0321336974052356,-0.619343850132639,1,0.894274019147471,-0.0312216020377464,-0.119243267477268,0.0671823178980317,0.209158258407374,0.0285165770367384,-0.405740034386304,-0.156163092511278,0.253557528809273,-0.162382411752159
"dist15",-0.0651236048369149,-0.634803839364014,0.89427401914747,1,-0.0896288515847653,-0.196351313194941,-0.0645477554397062,0.194015265779395,-0.0786324204733417,-0.44208635422099,-0.238759500705521,0.280340819663144,-0.1382616541104
"avail",0.385268753206324,0.355895833328571,-0.0312216020377449,-0.0896288515847645,1,-0.118046734309152,-0.116802716832661,-0.190606750397226,0.282542184864291,-0.0874928750248611,-0.0240606979786184,0.251530594802291,-0.100826335807139
"somepriv",0.182890043562106,0.0804394887596291,-0.119243267477268,-0.196351313194941,-0.118046734309152,1,0.60841167679064,0.0696682021203288,-0.203484595336573,0.16903196627714,0.316017377754583,-0.367328802637007,0.0867957234457308
"notpriv",0.166915902193194,-0.0400257868088868,0.0671823178980313,-0.0645477554397065,-0.116802716832661,0.608411676790639,1,0.100833863378534,-0.0252946291024093,0.168206564795665,0.242946201280116,-0.244583345626937,0.0846820348836504
"device",0.0152863259902779,-0.398165473114973,0.209158258407373,0.194015265779395,-0.190606750397226,0.0696682021203285,0.100833863378533,1,-0.115258692572868,-0.124345333765036,-0.0192908674661615,-0.100341027912035,-0.0566789034309547
"voucher",0.293242175786759,0.0335076272345979,0.0285165770367397,-0.0786324204733405,0.282542184864292,-0.203484595336572,-0.0252946291024105,-0.115258692572869,1,-0.0807214757699052,0.23095191182515,0.503037635482178,-0.430267285623925
"cash",0.190070873630382,0.320343093820537,-0.405740034386304,-0.442086354220991,-0.0874928750248607,0.169031966277139,0.168206564795665,-0.124345333765036,-0.0807214757699017,1,0.383497563772889,-0.489597194557828,0.63511843317527
"pricenone",0.336426829305605,0.0212114552301103,-0.156163092511278,-0.238759500705521,-0.0240606979786181,0.316017377754583,0.242946201280116,-0.0192908674661617,0.23095191182515,0.383497563772889,1,-0.570661847018523,-0.25208465917584
"pricevoucher",-0.106983756244212,-0.0516358370663685,0.253557528809273,0.280340819663143,0.251530594802291,-0.367328802637005,-0.244583345626938,-0.100341027912034,0.503037635482177,-0.489597194557829,-0.57066184701852,1,-0.0695090860641587
"pricecash",-0.126914051717564,0.174945815861853,-0.162382411752159,-0.138261654110399,-0.100826335807138,0.0867957234457305,0.0846820348836507,-0.0566789034309541,-0.43026728562392,0.635118433175267,-0.252084659175839,-0.0695090860641556,1
